t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,755,6,3,36,4,2,6,6,1,0,5,2,293,30,39,0,0,0,0,0
10000,639,33,1,127,3,15,6,6,1,0,17,3,291,121,155,0,0,0,0,0
15000,502,55,6,237,5,28,6,6,1,0,32,5,287,231,292,0,0,0,0,0
20000,368,92,4,336,2,41,6,6,1,0,42,5,288,330,426,0,0,0,0,0
25000,219,114,2,465,6,57,6,6,1,0,62,6,289,459,575,0,0,0,0,0
30000,99,139,0,562,7,68,6,6,1,0,74,6,295,556,695,0,0,0,0,0
35000,40,138,4,618,12,71,6,6,1,0,82,6,295,612,754,0,0,0,0,0
40000,18,145,0,637,10,76,6,6,1,0,85,7,298,631,776,0,0,0,0,0
45000,3,154,0,643,7,80,6,6,1,0,86,7,300,637,791,0,0,0,0,0
50000,2,155,0,643,7,80,6,6,1,0,86,7,300,637,792,0,0,0,0,0
55000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
60000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
65000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
70000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
75000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
80000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
85000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
90000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
95000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
100000,0,155,0,645,8,80,6,6,1,0,87,7,300,639,794,0,0,0,0,0
