t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,780,5,0,15,0,2,6.5,7,2,1,1,1,300,9,12,0,2,0,0,0
10000,752,10,1,37,0,4,6.75,7,2,0.811,3,2,294,31,40,0,2,0,0,0
15000,674,25,2,99,1,11,6.417,8,5,1.781,11,3,292,93,112,0,8,0,0,0
20000,509,69,1,221,0,31,5.645,10,8,2.21,30,6,290,215,273,0,12,0,0,0
25000,316,107,6,371,6,47,5.679,12,18,3.272,52,7,275,365,443,0,35,0,0,0
30000,135,148,5,512,7,67,5.689,12,20,3.537,73,7,290,506,615,0,44,0,0,0
35000,31,169,0,600,10,77,5.517,12,21,3.576,86,8,292,594,716,0,47,0,0,0
40000,6,172,0,622,10,81,5.44,12,21,3.618,90,8,300,616,740,0,48,0,0,0
45000,2,174,0,624,8,83,5.44,12,21,3.618,90,8,300,618,744,0,48,0,0,0
50000,0,174,0,626,8,83,5.44,12,21,3.618,90,8,300,620,746,0,48,0,0,0
55000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
60000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
65000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
70000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
75000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
80000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
85000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
90000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
95000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
100000,0,172,0,628,9,83,5.402,12,22,3.665,91,8,300,622,746,0,48,0,0,0
