t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,789,4,0,7,0,1,4,4,1,0,0,0,300,3,7,0,0,0,2,0
10000,782,6,0,12,0,3,3,4,3,1.585,2,1,300,12,18,0,0,0,6,0
15000,744,15,1,40,4,9,2.846,6,5,1.7,17,4,292,48,72,0,0,0,16,0
20000,673,35,6,86,7,26,2.515,5,6,2.045,58,8,284,150,214,0,0,0,54,0
25000,611,56,6,127,5,44,2.551,6,7,2.029,136,10,285,327,457,0,0,0,137,0
30000,526,69,13,192,24,59,2.349,6,8,1.971,288,12,262,640,861,0,0,0,288,0
35000,445,96,8,251,27,78,2.362,6,8,2.029,456,15,253,1006,1331,0,0,0,464,0
40000,368,116,9,307,34,104,2.217,6,8,1.363,693,16,259,1466,1949,0,0,0,711,0
45000,333,118,30,319,59,99,2.165,6,9,1.36,967,16,242,1981,2641,0,0,0,992,0
50000,344,125,19,312,42,105,2.177,5,8,1.367,1214,17,249,2471,3302,0,0,0,1274,0
55000,329,119,19,333,54,104,2.165,5,8,1.197,1465,19,252,2965,3950,0,0,0,1547,0
60000,271,133,24,372,65,116,2.16,5,7,1.226,1741,20,240,3479,4669,0,0,0,1821,0
65000,312,133,16,339,49,114,2.141,4,6,1.232,1990,21,245,3968,5325,0,0,0,2114,0
70000,352,114,23,311,52,101,2.176,4,7,1.376,2284,22,258,4509,6052,0,0,0,2440,0
75000,362,122,12,304,38,107,2.159,4,7,1.359,2549,23,258,5014,6757,0,0,0,2740,0
80000,328,131,18,323,45,113,2.139,4,6,1.135,2810,27,242,5513,7441,0,0,0,3009,0
85000,333,117,21,329,59,105,2.122,4,6,0.958,3127,29,235,6103,8234,0,0,0,3350,0
90000,343,116,13,328,54,108,2.099,3,5,0.941,3416,29,237,6661,8971,0,0,0,3663,0
95000,328,127,20,325,46,122,2.054,3,5,0.697,3722,32,253,7234,9750,0,0,0,3982,0
100000,365,113,19,303,49,107,2.058,3,5,0.773,4027,35,246,7790,10504,0,0,0,4305,0
