t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,758,7,4,31,2,4,3,3,2,1,5,2,295,31,29,0,13,0,6,0
10000,634,34,10,122,3,18,3.333,4,3,1.585,33,6,290,163,139,0,73,0,47,0
15000,400,102,11,287,12,46,2.5,3,6,2.284,109,8,263,449,382,0,204,0,164,0
20000,143,155,25,477,27,86,2.926,5,13,3.12,239,12,266,879,732,0,386,0,384,0
25000,98,180,9,513,26,90,2.692,5,9,2.575,349,13,265,1243,1028,0,515,0,665,0
30000,75,195,12,518,25,97,2.72,4,9,2.775,441,13,258,1575,1298,0,639,0,946,0
35000,76,197,13,514,31,95,2.677,5,12,3.084,535,13,259,1903,1572,0,744,0,1224,0
40000,82,197,17,504,28,90,2.321,3,7,2.492,660,14,259,2253,1836,0,881,0,1506,0
45000,69,197,16,518,34,94,2.647,7,12,2.837,772,15,269,2585,2081,0,1007,0,1764,0
50000,68,192,11,529,33,91,2.667,5,13,3.089,878,15,273,2917,2313,0,1136,0,2026,0
55000,67,205,6,522,17,99,2.765,5,9,2.984,956,15,273,3227,2560,0,1245,0,2294,0
60000,69,204,13,514,21,102,2.381,4,9,2.678,1079,15,272,3542,2790,0,1368,0,2561,0
65000,87,198,8,507,21,97,2.381,4,7,2.428,1187,16,262,3896,3044,0,1512,0,2861,0
70000,74,204,11,511,21,92,2.476,5,7,2.162,1280,16,269,4222,3289,0,1653,0,3126,0
75000,65,203,11,521,22,97,2.455,4,9,2.805,1385,16,262,4552,3537,0,1770,0,3390,0
80000,84,197,7,512,18,98,2.389,3,5,1.829,1482,17,271,4874,3774,0,1879,0,3665,0
85000,69,204,10,517,15,105,2.667,4,7,2.423,1580,19,274,5189,4001,0,2018,0,3925,0
90000,55,201,9,535,29,94,2.759,6,13,3.206,1666,20,278,5512,4238,0,2149,0,4190,0
95000,81,203,14,502,22,92,2.773,5,9,2.924,1763,21,263,5801,4448,0,2282,0,4459,0
100000,78,204,12,506,22,89,2.682,5,9,2.675,1851,21,263,6082,4659,0,2403,0,4695,0
