t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,749,12,1,38,1,4,3,3,1,0,4,3,293,36,44,1,6,0,5,0
10000,659,30,5,106,7,14,3,6,6,2.522,21,6,285,116,136,6,19,0,18,0
15000,431,71,8,290,24,47,2.125,3,5,1.615,79,9,279,327,370,16,46,0,45,0
20000,196,136,10,458,42,94,2.452,6,11,2.583,195,12,269,618,711,22,86,0,136,0
25000,60,179,4,557,48,123,2.313,5,11,2.552,296,12,274,894,1016,36,126,0,255,0
30000,49,195,2,554,38,129,2.158,3,4,1.662,361,12,279,1059,1200,42,144,0,369,0
35000,47,203,3,547,41,123,2.39,5,9,2.574,421,13,287,1212,1361,46,169,0,479,0
40000,39,210,3,548,39,123,2.333,4,9,2.519,482,14,292,1377,1532,50,194,0,593,0
45000,36,217,0,547,37,129,2.432,4,11,2.736,543,14,286,1529,1696,53,209,0,701,0
50000,43,210,6,541,31,128,2.613,4,9,2.88,604,16,286,1699,1867,58,238,0,818,0
55000,39,204,9,548,39,125,2.538,5,13,3.058,655,16,284,1827,1990,61,256,0,903,0
60000,38,204,4,554,36,129,2.611,7,11,2.598,707,16,289,1964,2124,66,279,0,997,0
65000,71,193,14,522,33,119,2.424,4,9,2.43,781,16,281,2141,2307,70,307,0,1138,0
70000,49,206,2,543,35,124,2.371,4,9,2.372,837,16,286,2316,2476,75,338,0,1253,0
75000,48,219,0,533,26,133,2.154,3,6,1.846,885,18,290,2453,2633,82,353,0,1358,0
80000,52,198,5,545,35,124,2.514,5,11,2.75,952,18,278,2646,2821,85,380,0,1485,0
85000,34,202,2,562,51,122,2.353,5,11,2.583,1024,18,281,2829,3010,89,398,0,1604,0
90000,34,208,7,551,45,121,2.356,4,10,2.15,1073,19,286,2976,3159,92,425,0,1711,0
95000,34,206,8,552,44,123,2.455,5,12,2.614,1126,20,283,3107,3296,96,440,0,1796,0
100000,42,217,4,537,38,126,2.474,5,11,2.649,1175,20,291,3228,3428,99,452,0,1887,0
