t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,780,5,0,15,0,2,6,6,1,0,1,1,298,9,14,0,0,0,0,0
10000,747,10,2,41,0,5,6,6,1,0,4,2,293,35,47,0,0,0,0,0
15000,645,32,5,118,2,15,6,6,2,0.323,16,4,290,112,149,4,0,0,0,0
20000,499,56,4,241,7,26,6,6,5,0.905,32,6,277,235,295,11,0,0,0,0
25000,361,97,3,339,3,43,6,6,7,0.999,45,6,288,333,433,14,0,0,0,0
30000,220,115,2,463,6,56,6,6,9,1.109,61,6,288,457,574,17,0,0,0,0
35000,101,144,6,549,5,68,6,6,9,1.25,72,7,284,543,693,20,0,0,0,0
40000,42,157,3,598,4,73,6,6,9,1.325,76,7,295,592,752,21,0,0,0,0
45000,19,154,2,625,7,74,6,6,10,1.466,80,7,299,619,775,24,0,0,0,0
50000,5,156,3,636,5,77,6,6,10,1.51,81,7,299,630,789,25,0,0,0,0
55000,3,157,0,640,5,77,6,6,10,1.51,81,7,300,634,791,25,0,0,0,0
60000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
65000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
70000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
75000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
80000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
85000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
90000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
95000,0,160,0,640,4,78,6,6,10,1.51,81,7,300,634,794,26,0,0,0,0
