t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,856,0,0,4,2,0,2,2,1,0,28,7,59,53,117,36,6,3,57,34,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,860,0,0,0,0,0,0,0,0,0,28,7,60,53,117,36,6,3,59,36,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
