t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,510,0,0,2,1,0,2,2,1,0,4,1,60,7,766,1,0,0,6,11,0,766,4,0,0,0,0,0,0,0,0,0,0,0
40000,506,0,0,6,3,0,2,2,2,0.918,7,1,60,13,1349,3,0,0,7,12,0,1349,7,0,0,0,0,0,0,0,0,0,0,0
60000,508,0,0,4,2,0,2,2,1,0,9,2,60,17,2044,4,0,0,10,15,0,2042,8,0,0,0,0,0,0,0,0,0,0,0
80000,508,0,0,4,2,0,2,2,2,1,12,2,60,23,2562,5,0,0,13,18,0,2560,11,0,0,0,0,0,0,0,0,0,0,0
100000,512,0,0,0,0,0,0,0,0,0,14,2,60,27,2922,6,0,0,17,22,0,2920,13,0,0,0,0,0,0,0,0,0,0,0
120000,503,1,0,8,3,1,2,2,2,1,18,2,60,35,3508,7,0,0,17,22,0,3505,17,0,0,0,0,0,0,0,0,0,0,0
140000,501,1,0,10,4,1,2,2,3,1.371,24,2,59,47,4911,12,0,0,22,27,0,4908,23,0,0,0,0,0,0,0,0,0,0,0
160000,506,0,0,6,3,0,2,2,3,1.585,27,2,58,53,6037,19,0,0,27,32,0,6035,26,0,0,0,0,0,0,0,0,0,0,0
180000,503,3,0,6,0,3,2,2,2,0.918,30,2,60,60,7114,23,1,0,30,36,0,7109,29,0,0,0,0,0,0,0,0,0,0,0
200000,512,0,0,0,0,0,0,0,0,0,30,2,60,60,7161,23,1,0,33,38,0,7159,29,0,0,0,0,0,0,0,0,0,0,0
220000,501,3,0,8,1,3,2,2,2,1,35,2,59,70,7480,24,1,0,34,39,0,7475,34,0,0,0,0,0,0,0,0,0,0,0
240000,496,3,0,13,4,2,2.167,3,3,1.252,40,2,59,81,9066,27,3,0,37,42,0,9059,38,0,0,0,0,0,0,0,0,0,0,0
260000,501,1,0,10,4,1,2,2,2,0.722,45,2,60,91,10719,33,3,0,43,49,0,10714,43,0,0,0,0,0,0,0,0,0,0,0
280000,508,0,0,4,2,0,2,2,2,1,49,2,60,99,11694,35,3,0,50,55,0,11687,46,0,0,0,0,0,0,0,0,0,0,0
300000,510,0,0,2,1,0,2,2,1,0,50,2,60,101,12428,38,3,0,52,57,0,12421,47,0,0,0,0,0,0,0,0,0,0,0
320000,504,0,0,8,4,0,2,2,2,0.811,55,3,60,111,13259,39,3,0,54,59,0,13250,51,0,0,0,0,0,0,0,0,0,0,0
340000,510,0,0,2,1,0,2,2,1,0,57,3,59,115,13935,39,3,0,59,64,0,13926,53,0,0,0,0,0,0,0,0,0,0,0
360000,506,0,0,6,3,0,2,2,2,0.918,62,3,60,125,14705,43,3,0,62,67,0,14696,58,0,0,0,0,0,0,0,0,0,0,0
380000,504,2,0,6,1,2,2,2,2,0.918,67,3,60,135,15413,45,3,0,67,72,0,15402,63,0,0,0,0,0,0,0,0,0,0,0
400000,512,0,0,0,0,0,0,0,0,0,69,3,60,139,15953,45,3,0,72,77,0,15944,65,0,0,0,0,0,0,0,0,0,0,0
420000,512,0,0,0,0,0,0,0,0,0,71,3,60,143,16262,46,3,0,74,78,0,16252,67,0,0,0,0,0,0,0,0,0,0,0
440000,512,0,0,0,0,0,0,0,0,0,72,3,60,145,16370,47,3,0,75,78,0,16359,68,0,0,0,0,0,0,0,0,0,0,0
460000,507,1,0,4,1,1,2,2,1,0,75,3,60,151,16822,48,3,0,76,79,0,16810,71,0,0,0,0,0,0,0,0,0,0,0
480000,512,0,0,0,0,0,0,0,0,0,75,3,60,151,17165,50,3,0,78,81,0,17154,71,0,0,0,0,0,0,0,0,0,0,0
500000,504,1,0,7,2,1,2.333,3,3,1.585,78,3,60,158,17516,51,4,0,78,81,0,17504,74,0,0,0,0,0,0,0,0,0,0,0
520000,503,1,0,8,3,1,2,2,2,1,82,3,60,166,18517,52,4,0,81,85,0,18505,78,0,0,0,0,0,0,0,0,0,0,0
540000,505,1,0,6,2,1,2,2,1,0,85,3,60,172,19545,54,4,0,85,89,0,19533,81,0,0,0,0,0,0,0,0,0,0,0
560000,510,0,0,2,1,0,2,2,1,0,87,3,60,176,20376,55,4,0,89,93,0,20365,83,0,0,0,0,0,0,0,0,0,0,0
580000,510,0,0,2,1,0,2,2,1,0,88,3,60,178,20742,56,4,0,90,94,0,20731,84,0,0,0,0,0,0,0,0,0,0,0
600000,510,0,0,2,1,0,2,2,1,0,92,3,58,186,20945,57,4,0,94,98,0,20934,88,0,0,0,0,0,0,0,0,0,0,0
620000,508,0,0,4,2,0,2,2,2,1,97,3,60,198,21740,59,5,0,98,104,0,21726,92,0,0,0,0,0,0,0,0,0,0,0
640000,506,0,0,6,3,0,2,2,1,0,101,3,60,206,23102,62,5,0,101,106,0,23088,96,0,0,0,0,0,0,0,0,0,0,0
660000,510,0,0,2,1,0,2,2,1,0,103,3,60,210,23587,63,5,0,105,110,0,23573,98,0,0,0,0,0,0,0,0,0,0,0
680000,504,0,0,8,4,0,2,2,1,0,107,3,60,218,24150,66,5,0,106,111,0,24136,102,0,0,0,0,0,0,0,0,0,0,0
700000,505,1,0,6,2,1,2,2,2,0.918,109,3,59,222,24910,68,5,0,109,114,0,24893,103,0,0,0,0,0,0,0,0,0,0,0
720000,506,0,0,6,3,0,2,2,3,1.585,111,3,60,226,26063,72,5,0,111,116,0,26047,105,0,0,0,0,0,0,0,0,0,0,0
740000,502,0,0,10,5,0,2,2,3,1.522,116,3,59,236,26984,77,5,0,114,119,0,26968,110,0,0,0,0,0,0,0,0,0,0,0
760000,505,1,0,6,2,1,2,2,2,0.918,118,3,58,240,27996,79,5,0,118,122,0,27978,112,0,0,0,0,0,0,0,0,0,0,0
780000,502,0,0,10,5,0,2,2,2,0.722,122,3,60,248,29504,82,5,0,120,124,0,29487,116,0,0,0,0,0,0,0,0,0,0,0
800000,501,0,0,11,5,0,2.2,3,3,1.371,125,3,57,255,30768,86,6,0,123,127,0,30749,118,0,0,0,0,0,0,0,0,0,0,0
