t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,155,29,4,324,52,22,3.797,6,10,2.625,97,6,42,406,7553,31,3,0,38,59,0,7118,2,0,0,0,0,0,0,0,0,0,0,0
40000,111,25,5,371,69,21,3.8,6,13,3.052,196,9,50,812,19930,66,5,0,156,301,0,19089,2,0,0,0,0,0,0,0,0,0,0,0
60000,106,25,6,375,71,21,3.88,7,17,3.632,294,11,48,1187,31796,101,7,0,279,559,0,30569,2,0,0,0,0,0,0,0,0,0,0,0
80000,108,20,0,384,83,16,3.727,7,19,3.547,394,11,51,1576,43340,136,11,0,409,810,0,41732,2,0,0,0,0,0,0,0,0,0,0,0
100000,88,16,2,405,96,16,3.455,6,14,3.141,493,13,54,1945,55484,157,13,0,525,1050,0,53503,3,0,0,0,0,0,0,0,0,0,0,0
120000,113,23,8,368,75,21,3.646,7,16,3.284,589,13,51,2302,67637,181,17,0,662,1310,0,65284,3,0,0,0,0,0,0,0,0,0,0,0
140000,83,31,3,395,81,25,3.519,7,16,3.166,691,16,52,2693,79369,210,17,0,782,1554,0,76619,3,0,0,0,0,0,0,0,0,0,0,0
160000,87,24,4,397,87,21,3.444,7,15,3.032,793,17,49,3066,91940,238,19,0,908,1805,0,88821,4,0,0,0,0,0,0,0,0,0,0,0
180000,106,22,5,379,91,18,3.349,7,16,3.074,902,18,51,3440,104436,267,22,0,1045,2062,0,100943,4,0,0,0,0,0,0,0,0,0,0,0
200000,127,16,4,365,85,15,3.55,7,18,3.535,1022,20,52,3878,117290,289,25,0,1201,2359,0,113360,4,0,0,0,0,0,0,0,0,0,0,0
220000,139,14,2,357,96,12,3.176,7,15,3.125,1145,23,43,4300,131071,325,31,0,1347,2650,0,126721,4,0,0,0,0,0,0,0,0,0,0,0
240000,97,13,1,401,117,12,3.047,7,16,2.939,1267,24,50,4692,144028,347,36,0,1468,2880,0,139290,5,0,0,0,0,0,0,0,0,0,0,0
260000,101,15,3,393,105,14,3.16,7,16,2.975,1393,26,47,5106,157782,379,43,0,1615,3160,0,152623,6,0,0,0,0,0,0,0,0,0,0,0
280000,132,20,8,352,94,17,3.09,7,13,2.454,1516,27,52,5482,171073,410,44,0,1767,3426,0,165527,6,0,0,0,0,0,0,0,0,0,0,0
300000,118,21,4,369,93,21,3.132,7,13,2.737,1666,28,42,5953,186059,453,47,0,1939,3714,0,180037,6,0,0,0,0,0,0,0,0,0,0,0
320000,113,23,2,373,93,19,3.179,7,12,2.688,1783,28,52,6346,199745,488,49,0,2082,3966,0,193319,6,0,0,0,0,0,0,0,0,0,0,0
340000,133,11,3,365,96,10,3.33,7,13,2.951,1897,29,49,6735,212790,518,52,0,2222,4224,0,205984,7,0,0,0,0,0,0,0,0,0,0,0
360000,118,16,3,375,92,14,3.358,7,15,3.06,2013,30,49,7127,225150,546,53,0,2360,4473,0,217943,7,0,0,0,0,0,0,0,0,0,0,0
380000,117,19,8,368,89,18,3.355,7,13,2.989,2135,33,48,7557,238826,584,58,0,2506,4763,0,231184,7,0,0,0,0,0,0,0,0,0,0,0
400000,118,13,3,378,104,12,3.216,6,13,2.937,2253,33,47,7958,251915,610,60,0,2636,5024,0,243880,7,0,0,0,0,0,0,0,0,0,0,0
420000,121,16,6,369,99,13,3.223,6,14,3.022,2387,35,51,8398,264996,640,62,0,2798,5314,0,256513,7,0,0,0,0,0,0,0,0,0,0,0
440000,123,19,1,369,91,18,3.229,5,11,2.936,2513,36,46,8824,279226,683,63,0,2948,5594,0,270312,7,0,0,0,0,0,0,0,0,0,0,0
460000,139,14,3,356,95,13,3.25,5,9,2.631,2653,37,48,9289,294253,724,63,0,3111,5913,0,284864,7,0,0,0,0,0,0,0,0,0,0,0
480000,109,17,5,381,98,17,3.209,5,9,2.583,2777,38,47,9708,308672,758,67,0,3251,6172,0,298857,8,0,0,0,0,0,0,0,0,0,0,0
500000,136,15,5,356,90,15,3.371,5,9,2.697,2898,38,56,10099,322269,788,69,0,3399,6441,0,312058,8,0,0,0,0,0,0,0,0,0,0,0
520000,118,17,4,373,96,16,3.232,5,11,2.791,3031,40,51,10545,336592,838,74,0,3544,6733,0,325930,8,0,0,0,0,0,0,0,0,0,0,0
540000,100,26,6,380,82,22,3.51,6,12,2.727,3144,43,54,10946,349700,864,75,0,3690,6992,0,338617,9,0,0,0,0,0,0,0,0,0,0,0
560000,110,19,7,375,96,17,3.274,6,14,2.95,3264,43,52,11356,363344,892,80,0,3822,7275,0,351857,9,0,0,0,0,0,0,0,0,0,0,0
580000,116,17,6,373,92,16,3.324,5,14,3.017,3391,45,45,11784,376931,931,85,0,3977,7552,0,365018,10,0,0,0,0,0,0,0,0,0,0,0
600000,94,20,6,392,95,19,3.386,5,15,3.097,3492,45,49,12153,389308,967,86,0,4093,7788,0,377022,10,0,0,0,0,0,0,0,0,0,0,0
