t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,50,30,9,423,45,27,5.167,7,8,2.113,91,8,51,551,7837,13,6,0,36,108,0,7249,1,0,0,0,0,0,0,0,0,0,0,0
40000,81,22,6,403,58,19,4.831,7,10,2.36,160,9,49,908,16092,27,9,0,141,384,0,15157,1,0,0,0,0,0,0,0,0,0,0,0
60000,79,27,5,401,66,22,4.17,6,12,2.73,244,9,56,1304,25758,51,11,0,249,677,0,24417,2,0,0,0,0,0,0,0,0,0,0,0
80000,95,23,1,393,71,21,3.913,6,10,2.773,330,9,52,1689,37287,81,12,0,372,947,0,35563,2,0,0,0,0,0,0,0,0,0,0,0
100000,108,12,3,389,90,12,3.647,6,12,2.998,439,11,49,2102,49836,107,14,0,507,1229,0,47710,3,0,0,0,0,0,0,0,0,0,0,0
120000,71,27,8,406,80,20,3.69,6,18,3.288,541,13,46,2513,61700,135,20,0,637,1495,0,59144,3,0,0,0,0,0,0,0,0,0,0,0
140000,88,24,2,397,86,20,3.613,6,17,3.102,655,14,50,2938,72560,154,23,0,782,1786,0,69587,4,0,0,0,0,0,0,0,0,0,0,0
160000,77,26,2,407,83,21,3.673,6,16,3.334,752,15,55,3329,82978,166,26,0,905,2043,0,79611,4,0,0,0,0,0,0,0,0,0,0,0
180000,74,26,5,407,85,21,3.689,6,17,3.347,853,15,50,3732,93622,193,29,0,1037,2315,0,89848,4,0,0,0,0,0,0,0,0,0,0,0
200000,121,19,4,368,86,19,3.343,6,17,3.392,968,19,53,4162,105809,226,33,0,1189,2633,0,101611,4,0,0,0,0,0,0,0,0,0,0,0
220000,91,20,8,393,95,19,3.316,6,17,3.485,1091,20,49,4584,118263,252,35,0,1324,2900,0,113635,4,0,0,0,0,0,0,0,0,0,0,0
240000,85,21,5,401,97,18,3.339,6,16,3.487,1206,21,53,4984,130428,282,38,0,1459,3163,0,125391,4,0,0,0,0,0,0,0,0,0,0,0
260000,107,18,2,385,91,17,3.398,7,17,3.62,1319,22,49,5371,142100,314,42,0,1592,3435,0,136680,4,0,0,0,0,0,0,0,0,0,0,0
280000,89,24,4,395,83,19,3.598,7,18,3.731,1423,23,44,5770,153668,345,46,0,1724,3693,0,147842,4,0,0,0,0,0,0,0,0,0,0,0
300000,73,20,5,414,93,18,3.559,7,20,3.762,1521,25,55,6120,164444,382,47,0,1836,3909,0,158270,4,0,0,0,0,0,0,0,0,0,0,0
320000,89,25,9,389,95,21,3.216,6,19,3.558,1643,26,51,6533,175791,410,48,0,1980,4204,0,169191,4,0,0,0,0,0,0,0,0,0,0,0
340000,113,16,5,378,100,14,3.228,6,17,3.317,1783,29,49,6985,189618,438,49,0,2137,4511,0,182572,4,0,0,0,0,0,0,0,0,0,0,0
360000,69,24,9,410,102,22,3.226,6,21,3.344,1917,30,48,7431,201792,465,53,0,2287,4785,0,194282,4,0,0,0,0,0,0,0,0,0,0,0
380000,112,15,10,375,110,13,3.033,5,15,2.997,2057,32,42,7877,215138,494,57,0,2452,5101,0,207184,4,0,0,0,0,0,0,0,0,0,0,0
400000,95,14,3,400,113,13,3.119,5,13,3.077,2212,34,51,8366,228885,521,60,0,2624,5392,0,220443,5,0,0,0,0,0,0,0,0,0,0,0
420000,91,20,3,398,102,20,3.115,5,11,2.911,2340,35,51,8770,240958,539,62,0,2771,5658,0,232095,5,0,0,0,0,0,0,0,0,0,0,0
440000,79,21,5,407,105,19,3.137,5,11,2.967,2478,36,53,9219,253646,577,63,0,2932,5943,0,244323,6,0,0,0,0,0,0,0,0,0,0,0
460000,91,12,1,408,108,11,3.361,5,11,3.022,2594,37,43,9610,265211,614,66,0,3077,6196,0,255502,6,0,0,0,0,0,0,0,0,0,0,0
480000,87,17,8,400,107,15,3.246,5,14,3.247,2705,39,50,9975,277262,646,70,0,3207,6442,0,267170,6,0,0,0,0,0,0,0,0,0,0,0
500000,96,18,6,392,103,17,3.15,5,14,3.193,2825,40,46,10378,289177,686,74,0,3347,6710,0,278687,7,0,0,0,0,0,0,0,0,0,0,0
520000,96,20,11,385,95,19,3.325,5,16,3.113,2948,41,52,10796,302142,722,74,0,3498,6981,0,291221,7,0,0,0,0,0,0,0,0,0,0,0
540000,64,24,2,422,93,24,3.427,5,16,3.118,3059,42,53,11198,313315,762,81,0,3627,7218,0,301997,7,0,0,0,0,0,0,0,0,0,0,0
560000,83,24,1,404,96,20,3.345,5,15,3.188,3163,44,46,11573,324800,784,84,0,3756,7478,0,313111,7,0,0,0,0,0,0,0,0,0,0,0
580000,98,22,6,386,90,21,3.324,5,18,3.201,3281,45,53,11990,337236,807,90,0,3906,7766,0,325130,8,0,0,0,0,0,0,0,0,0,0,0
600000,96,18,1,397,91,18,3.459,5,13,3.043,3392,46,52,12391,349503,832,94,0,4038,8027,0,337002,8,0,0,0,0,0,0,0,0,0,0,0
620000,111,15,8,378,109,13,3.082,5,11,2.795,3544,49,54,12843,362125,861,97,0,4204,8341,0,349161,8,0,0,0,0,0,0,0,0,0,0,0
640000,100,27,4,381,93,23,3.129,5,10,2.788,3673,51,51,13299,375595,890,100,0,4363,8637,0,362162,8,0,0,0,0,0,0,0,0,0,0,0
660000,96,16,2,398,109,15,3.137,5,11,2.886,3810,52,52,13736,389031,910,105,0,4514,8911,0,375174,9,0,0,0,0,0,0,0,0,0,0,0
680000,88,19,6,399,111,18,3.023,5,12,2.874,3958,52,51,14188,402200,941,110,0,4677,9209,0,387877,10,0,0,0,0,0,0,0,0,0,0,0
700000,124,15,6,367,102,15,3.06,5,13,2.846,4074,53,52,14548,414918,973,114,0,4816,9462,0,400239,10,0,0,0,0,0,0,0,0,0,0,0
720000,105,19,4,384,101,17,3.169,5,14,3.115,4198,53,54,14950,427322,991,120,0,4955,9711,0,412241,11,0,0,0,0,0,0,0,0,0,0,0
740000,107,16,4,385,97,15,3.286,6,16,3.273,4318,53,49,15364,439658,1018,125,0,5105,9976,0,424167,11,0,0,0,0,0,0,0,0,0,0,0
760000,87,14,4,407,105,14,3.353,6,16,3.355,4439,54,49,15785,450896,1044,129,0,5241,10240,0,434986,11,0,0,0,0,0,0,0,0,0,0,0
780000,84,19,4,405,100,19,3.311,6,12,3.038,4560,56,50,16204,463122,1078,132,0,5378,10529,0,446784,11,0,0,0,0,0,0,0,0,0,0,0
800000,112,13,7,380,105,12,3.205,6,12,3.105,4678,58,50,16588,474980,1107,135,0,5518,10806,0,458254,11,0,0,0,0,0,0,0,0,0,0,0
