t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,349,4,4,155,74,3,2.065,6,4,0.373,99,10,53,193,4789,22,3,0,25,27,0,4591,1,0,0,0,0,0,0,0,0,0,0,0
40000,332,4,5,171,82,4,2.047,3,3,0.318,208,10,55,414,14310,117,3,0,128,128,0,13887,1,0,0,0,0,0,0,0,0,0,0,0
60000,330,7,2,173,79,7,2.035,3,4,0.274,320,14,52,638,23049,186,6,0,240,241,0,22394,1,0,0,0,0,0,0,0,0,0,0,0
80000,327,5,1,179,81,5,2.07,3,3,0.41,429,18,56,867,32603,260,11,0,350,354,0,31726,2,0,0,0,0,0,0,0,0,0,0,0
100000,309,5,4,194,90,5,2.074,3,5,0.564,524,20,57,1061,41288,348,15,0,439,445,0,40216,2,0,0,0,0,0,0,0,0,0,0,0
120000,308,5,1,198,88,5,2.14,4,6,0.839,616,21,54,1259,50698,425,20,0,533,540,0,49431,2,0,0,0,0,0,0,0,0,0,0,0
140000,303,6,1,202,87,6,2.161,4,5,0.826,715,23,54,1473,60024,502,21,0,633,652,0,58541,3,0,0,0,0,0,0,0,0,0,0,0
160000,325,4,3,180,79,4,2.193,3,3,0.841,811,24,51,1679,68709,589,25,0,740,770,0,67024,5,0,0,0,0,0,0,0,0,0,0,0
180000,311,14,3,184,62,14,2.395,4,5,1.355,893,24,56,1880,76843,677,31,0,831,876,0,74950,5,0,0,0,0,0,0,0,0,0,0,0
200000,309,8,7,188,71,8,2.456,4,5,1.548,985,26,46,2109,85662,758,39,0,926,1010,0,83543,5,0,0,0,0,0,0,0,0,0,0,0
220000,300,6,3,203,73,5,2.628,4,5,1.912,1072,28,50,2350,95737,833,41,0,1014,1142,0,93386,7,0,0,0,0,0,0,0,0,0,0,0
240000,293,10,1,208,68,9,2.662,4,5,1.901,1158,28,54,2587,105573,896,43,0,1107,1281,0,102984,7,0,0,0,0,0,0,0,0,0,0,0
260000,299,15,1,197,64,15,2.418,4,5,1.639,1259,30,55,2840,116345,952,47,0,1213,1445,0,113494,7,0,0,0,0,0,0,0,0,0,0,0
280000,300,8,4,200,73,8,2.457,4,5,1.516,1353,32,49,3073,125616,1046,50,0,1315,1568,0,122535,8,0,0,0,0,0,0,0,0,0,0,0
300000,305,5,4,198,73,5,2.577,4,5,1.704,1435,36,54,3287,134494,1134,55,0,1402,1691,0,131202,8,0,0,0,0,0,0,0,0,0,0,0
320000,310,7,0,195,66,7,2.63,4,5,1.851,1512,36,55,3496,144352,1225,58,0,1488,1822,0,140853,9,0,0,0,0,0,0,0,0,0,0,0
340000,315,5,5,187,67,4,2.662,4,5,1.837,1605,36,56,3738,154540,1304,61,0,1588,1971,0,150795,9,0,0,0,0,0,0,0,0,0,0,0
360000,294,8,0,210,69,8,2.675,5,8,2.051,1688,36,55,3976,164178,1394,70,0,1676,2102,0,160201,9,0,0,0,0,0,0,0,0,0,0,0
380000,296,4,4,208,75,4,2.671,4,6,1.955,1769,36,58,4188,173740,1477,73,0,1759,2233,0,169551,9,0,0,0,0,0,0,0,0,0,0,0
400000,306,8,2,196,69,8,2.519,4,6,1.689,1859,36,53,4417,183231,1531,76,0,1852,2381,0,178814,10,0,0,0,0,0,0,0,0,0,0,0
420000,311,12,2,187,60,10,2.629,4,5,1.564,1951,36,53,4669,192693,1598,79,0,1957,2540,0,188020,11,0,0,0,0,0,0,0,0,0,0,0
440000,313,6,0,193,65,6,2.648,4,4,1.272,2039,36,52,4914,201424,1679,82,0,2048,2685,0,196516,12,0,0,0,0,0,0,0,0,0,0,0
460000,313,4,3,192,66,4,2.729,4,6,1.48,2108,37,57,5103,209131,1758,85,0,2124,2797,0,204032,12,0,0,0,0,0,0,0,0,0,0,0
480000,294,7,2,209,69,7,2.763,4,6,1.591,2186,39,57,5317,216607,1850,89,0,2199,2918,0,211295,12,0,0,0,0,0,0,0,0,0,0,0
500000,312,4,1,195,67,4,2.746,4,8,1.715,2250,39,57,5492,224772,1933,92,0,2272,3031,0,219293,14,0,0,0,0,0,0,0,0,0,0,0
520000,302,6,0,204,66,6,2.764,4,6,1.349,2328,41,57,5713,232365,2009,94,0,2359,3159,0,226661,15,0,0,0,0,0,0,0,0,0,0,0
540000,302,6,0,204,64,6,2.829,5,6,1.513,2402,42,55,5935,240202,2070,100,0,2439,3299,0,234281,16,0,0,0,0,0,0,0,0,0,0,0
560000,315,5,2,190,60,5,2.908,4,4,1.271,2487,44,53,6174,248477,2152,104,0,2536,3458,0,242317,16,0,0,0,0,0,0,0,0,0,0,0
580000,293,5,0,214,70,5,2.813,5,5,1.432,2563,45,56,6391,255864,2227,107,0,2608,3583,0,249486,16,0,0,0,0,0,0,0,0,0,0,0
600000,296,4,2,210,69,4,2.863,4,6,1.932,2636,46,52,6605,264973,2293,115,0,2691,3717,0,258388,17,0,0,0,0,0,0,0,0,0,0,0
620000,295,9,2,206,60,9,2.913,4,6,2.132,2705,48,54,6822,273295,2358,119,0,2775,3851,0,266490,18,0,0,0,0,0,0,0,0,0,0,0
640000,308,4,4,196,67,4,2.803,4,6,1.972,2781,48,55,7031,282219,2441,123,0,2855,3986,0,275210,19,0,0,0,0,0,0,0,0,0,0,0
660000,304,8,0,200,59,8,2.896,5,6,1.999,2855,49,52,7246,291036,2537,125,0,2939,4117,0,283808,19,0,0,0,0,0,0,0,0,0,0,0
680000,303,5,2,202,64,5,2.928,4,6,2.182,2937,50,53,7486,300356,2619,127,0,3029,4260,0,292886,19,0,0,0,0,0,0,0,0,0,0,0
700000,291,12,0,209,57,10,2.985,5,7,2.31,3004,51,55,7694,309827,2696,136,0,3102,4390,0,302149,19,0,0,0,0,0,0,0,0,0,0,0
720000,294,9,1,208,57,9,3.061,6,9,2.437,3073,52,59,7914,319404,2790,138,0,3178,4534,0,311509,19,0,0,0,0,0,0,0,0,0,0,0
740000,287,17,2,206,52,16,2.868,5,9,2.155,3146,54,53,8136,328995,2859,142,0,3263,4674,0,320871,19,0,0,0,0,0,0,0,0,0,0,0
760000,309,10,1,192,60,8,2.824,4,8,2.105,3221,55,55,8344,337362,2950,147,0,3348,4813,0,329038,19,0,0,0,0,0,0,0,0,0,0,0
780000,304,7,2,199,64,7,2.732,5,8,1.844,3294,58,59,8546,345013,3031,151,0,3425,4933,0,336488,19,0,0,0,0,0,0,0,0,0,0,0
800000,328,6,0,178,60,6,2.682,5,9,1.959,3376,61,57,8763,354273,3097,156,0,3519,5082,0,345534,19,0,0,0,0,0,0,0,0,0,0,0
