t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,689,46,14,659,113,36,4.054,7,18,2.877,179,6,158,813,14327,31,5,0,71,148,0,13451,6,0,743,0,0,0,0,0,0,0,78,0,0,0,0,0
40000,453,59,10,886,149,46,4.272,7,20,3.035,400,8,174,1809,39833,90,10,0,329,679,0,37932,7,0,1733,0,0,0,0,0,0,0,117,0,0,0,0,0
60000,423,51,8,926,163,46,4.115,6,19,3.415,623,9,182,2775,65077,155,16,0,613,1330,0,62218,8,0,2693,0,0,0,0,0,0,0,124,0,0,0,0,0
80000,415,57,11,925,179,48,3.815,6,19,3.541,848,12,179,3708,91668,223,18,0,890,1996,0,87855,9,0,3611,0,0,0,0,0,0,0,125,0,0,0,0,0
100000,411,41,22,934,192,39,3.857,6,22,3.592,1074,14,179,4593,118687,298,23,0,1163,2597,0,113985,10,0,4477,0,0,0,0,0,0,0,133,0,0,0,0,0
120000,426,47,10,925,195,40,3.745,7,24,3.704,1308,15,174,5511,144808,380,26,0,1466,3229,0,139187,12,0,5370,0,0,0,0,0,0,0,124,0,0,0,0,0
140000,410,53,10,935,186,50,3.805,7,22,3.772,1547,15,176,6476,171341,435,32,0,1770,3892,0,164739,13,0,6313,0,0,0,0,0,0,0,128,0,0,0,0,0
160000,381,42,10,975,218,39,3.626,7,22,3.876,1801,16,177,7447,198231,498,38,0,2057,4534,0,190670,13,0,7272,0,0,0,0,0,0,0,128,0,0,0,0,0
180000,348,41,17,1001,228,37,3.66,7,23,3.991,2045,17,180,8376,224376,561,44,0,2351,5150,0,215870,14,0,8190,0,0,0,0,0,0,0,144,0,0,0,0,0
200000,406,63,6,933,184,49,3.695,7,25,3.972,2260,19,185,9261,250752,630,48,0,2653,5801,0,241347,14,0,9068,0,0,0,0,0,0,0,144,0,0,0,0,0
220000,398,52,3,955,196,45,3.763,7,23,3.914,2488,20,181,10161,275334,708,56,0,2926,6412,0,265038,14,0,9946,0,0,0,0,0,0,0,143,0,0,0,0,0
240000,383,57,9,959,190,48,3.731,7,23,3.978,2702,20,180,11060,301486,781,61,0,3210,7020,0,290273,14,0,10832,0,0,0,0,0,0,0,158,0,0,0,0,0
260000,461,37,20,890,197,33,3.713,7,25,3.98,2950,21,176,12004,327327,829,65,0,3533,7720,0,315169,15,0,11756,0,0,0,0,0,0,0,145,0,0,0,0,0
280000,421,46,11,930,193,41,3.778,7,22,4.015,3193,24,177,12984,354899,895,73,0,3837,8364,0,341756,16,0,12718,0,0,0,0,0,0,0,163,0,0,0,0,0
300000,440,42,18,908,198,36,3.735,7,22,3.983,3414,24,178,13863,381137,950,79,0,4123,8983,0,367107,17,0,13588,0,0,0,0,0,0,0,163,0,0,0,0,0
320000,397,52,13,946,194,47,3.734,7,22,4.081,3655,24,177,14835,407695,1008,80,0,4416,9634,0,392670,18,0,14539,0,0,0,0,0,0,0,159,0,0,0,0,0
340000,441,47,14,906,195,43,3.647,7,24,3.935,3898,26,179,15790,433624,1069,86,0,4722,10335,0,417640,20,0,15485,0,0,0,0,0,0,0,164,0,0,0,0,0
360000,405,50,10,943,191,44,3.774,7,27,4.011,4132,26,180,16751,460190,1129,91,0,5016,10978,0,443232,20,0,16434,0,0,0,0,0,0,0,182,0,0,0,0,0
380000,372,50,8,978,190,45,3.902,7,26,4.056,4354,28,186,17687,486291,1194,95,0,5299,11603,0,468391,20,0,17356,0,0,0,0,0,0,0,198,0,0,0,0,0
