t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,1026,28,120,234,44,25,4.435,7,11,2.473,95,6,89,278,7449,18,5,0,49,106,0,6977,7,0,114,0,0,0,0,0,0,0,29,0
40000,659,62,174,513,93,55,4.095,7,16,3.231,279,7,67,910,24717,64,10,0,190,465,0,23390,11,0,573,0,0,0,0,0,0,0,55,0
60000,496,52,153,707,139,44,4.268,7,21,3.559,493,8,68,1673,46226,130,21,0,428,969,0,44001,14,0,1219,0,0,0,0,0,0,0,77,0
80000,539,37,128,704,153,36,4.09,7,24,3.728,692,9,92,2381,70190,172,26,0,678,1573,0,67150,14,0,1837,0,0,0,0,0,0,0,79,0
100000,502,46,132,728,171,41,3.774,7,21,3.679,908,10,99,3118,95269,226,35,0,936,2157,0,91355,18,0,2479,0,0,0,0,0,0,0,86,0
120000,459,58,141,750,161,51,3.83,7,19,3.699,1123,12,104,3877,119458,283,43,0,1208,2747,0,114643,20,0,3142,0,0,0,0,0,0,0,92,0
140000,438,49,130,791,183,43,3.712,7,24,3.734,1339,13,107,4627,144249,339,49,0,1477,3314,0,138578,20,0,3820,0,0,0,0,0,0,0,92,0
160000,421,54,142,791,185,44,3.812,7,20,3.64,1581,13,111,5431,168837,400,52,0,1790,3944,0,162209,22,0,4533,0,0,0,0,0,0,0,107,0
180000,498,48,96,766,176,42,3.679,7,21,3.725,1804,15,115,6220,193314,454,58,0,2090,4580,0,185830,23,0,5254,0,0,0,0,0,0,0,94,0
200000,460,42,93,813,198,36,3.645,8,21,3.737,2022,15,108,6996,218894,515,65,0,2348,5119,0,210577,24,0,5943,0,0,0,0,0,0,0,101,0
220000,569,39,107,693,162,35,3.822,7,23,3.85,2243,15,96,7731,244509,589,70,0,2648,5788,0,235335,27,0,6578,0,0,0,0,0,0,0,74,0
240000,498,48,112,750,182,43,3.591,7,22,3.702,2481,17,107,8486,269154,652,78,0,2917,6370,0,259065,29,0,7241,0,0,0,0,0,0,0,91,0
260000,488,42,116,762,190,36,3.624,7,25,3.845,2718,17,90,9294,294342,704,88,0,3205,6970,0,283359,29,0,7934,0,0,0,0,0,0,0,92,0
280000,501,36,113,758,206,31,3.502,7,24,3.747,2951,18,128,10052,320246,766,97,0,3487,7559,0,308412,31,0,8642,0,0,0,0,0,0,0,101,0
300000,478,55,102,773,188,47,3.447,7,25,3.703,3205,19,108,10904,345885,827,102,0,3801,8192,0,333077,32,0,9398,0,0,0,0,0,0,0,88,0
320000,473,47,132,756,187,38,3.64,7,25,3.851,3435,20,115,11658,371281,881,106,0,4092,8802,0,357565,34,0,10072,0,0,0,0,0,0,0,84,0
340000,471,48,122,767,189,42,3.58,8,26,4.023,3667,21,110,12430,395852,943,114,0,4374,9401,0,381264,37,0,10761,0,0,0,0,0,0,0,89,0
360000,496,41,117,754,189,39,3.579,8,26,4.012,3899,23,112,13179,420734,998,122,0,4660,9992,0,405301,39,0,11418,0,0,0,0,0,0,0,87,0
380000,470,48,98,792,194,42,3.542,8,26,3.938,4133,24,112,13947,446436,1053,131,0,4942,10555,0,430139,40,0,12089,0,0,0,0,0,0,0,96,0
400000,512,36,92,768,206,30,3.496,8,30,3.977,4386,24,111,14733,472424,1121,138,0,5269,11177,0,455221,41,0,12767,0,0,0,0,0,0,0,88,0
420000,499,50,101,758,203,43,3.297,7,23,3.686,4636,26,133,15510,499720,1183,146,0,5568,11752,0,481625,41,0,13487,0,0,0,0,0,0,0,98,0
440000,452,46,106,804,209,43,3.409,7,24,3.728,4891,26,108,16338,525515,1252,150,0,5863,12320,0,506507,43,0,14203,0,0,0,0,0,0,0,99,0
460000,462,28,115,803,236,27,3.373,6,23,3.623,5148,27,118,17116,551548,1315,161,0,6166,12906,0,531668,46,0,14908,0,0,0,0,0,0,0,99,0
480000,475,47,121,765,196,44,3.5,6,23,3.54,5404,28,116,17911,577997,1391,174,0,6484,13554,0,557164,48,0,15622,0,0,0,0,0,0,0,94,0
500000,493,37,109,769,206,34,3.508,6,29,3.732,5641,31,123,18700,604261,1466,179,0,6778,14162,0,582542,48,0,16349,0,0,0,0,0,0,0,102,0
520000,498,33,118,759,219,28,3.401,6,26,3.63,5900,31,116,19478,631963,1543,189,0,7079,14738,0,609372,50,0,17048,0,0,0,0,0,0,0,94,0
540000,489,42,125,752,212,38,3.328,6,24,3.453,6171,33,105,20295,658750,1616,196,0,7400,15340,0,635227,50,0,17760,0,0,0,0,0,0,0,91,0
560000,503,39,87,779,219,36,3.251,7,20,3.335,6438,33,93,21102,686368,1685,207,0,7714,15927,0,661962,51,0,18473,0,0,0,0,0,0,0,92,0
580000,440,43,89,836,223,39,3.378,7,21,3.477,6708,34,117,21928,713360,1747,214,0,8016,16506,0,688011,51,0,19241,0,0,0,0,0,0,0,114,0
600000,498,37,134,739,218,33,3.319,7,22,3.565,6962,36,99,22623,740156,1817,219,0,8334,17121,0,713933,51,0,19834,0,0,0,0,0,0,0,67,0
620000,482,37,113,776,215,33,3.435,7,23,3.672,7210,38,98,23389,765631,1883,228,0,8625,17663,0,738559,53,0,20486,0,0,0,0,0,0,0,88,0
640000,454,52,135,767,201,48,3.426,7,26,3.738,7473,39,102,24160,791676,1963,236,0,8933,18268,0,763661,55,0,21171,0,0,0,0,0,0,0,84,0
660000,522,43,112,731,196,42,3.345,7,25,3.716,7731,40,113,24943,818268,2021,243,0,9254,18887,0,789376,55,0,21862,0,0,0,0,0,0,0,87,0
680000,451,45,101,811,203,42,3.502,8,25,3.741,7976,40,126,25750,844818,2087,255,0,9539,19410,0,815043,55,0,22603,0,0,0,0,0,0,0,112,0
700000,458,46,97,807,210,42,3.381,8,25,3.727,8219,40,118,26554,870496,2143,265,0,9831,20005,0,839849,57,0,23325,0,0,0,0,0,0,0,104,0
720000,524,40,93,751,195,36,3.459,8,23,3.838,8473,40,121,27336,897021,2202,279,0,10161,20649,0,865477,58,0,24029,0,0,0,0,0,0,0,102,0
740000,510,36,105,757,211,33,3.414,8,22,3.874,8737,40,117,28113,924346,2279,290,0,10462,21245,0,891895,58,0,24711,0,0,0,0,0,0,0,96,0
760000,552,40,76,740,182,35,3.521,8,24,3.932,8968,40,126,28876,952444,2366,297,0,10766,21830,0,919145,58,0,25405,0,0,0,0,0,0,0,91,0
780000,478,47,133,750,201,41,3.421,8,22,3.776,9229,40,104,29657,978909,2425,304,0,11057,22413,0,944663,59,0,26086,0,0,0,0,0,0,0,81,0
800000,513,47,142,706,204,38,3.293,8,23,3.67,9487,41,78,30423,1005902,2499,311,0,11363,23038,0,970767,61,0,26726,0,0,0,0,0,0,0,73,0
820000,504,42,138,724,208,35,3.366,8,22,3.571,9742,42,97,31182,1032114,2573,317,0,11668,23587,0,996115,62,0,27427,0,0,0,0,0,0,0,83,0
840000,480,40,120,768,207,36,3.424,8,24,3.618,9985,44,116,31964,1058365,2632,326,0,11967,24134,0,1021490,62,0,28142,0,0,0,0,0,0,0,98,0
860000,487,40,128,753,223,32,3.247,8,26,3.449,10259,44,113,32793,1084683,2704,341,0,12284,24780,0,1046858,62,0,28881,0,0,0,0,0,0,0,95,0
880000,532,37,111,728,216,29,3.237,8,27,3.551,10513,46,110,33568,1112225,2778,353,0,12594,25379,0,1073540,64,0,29580,0,0,0,0,0,0,0,90,0
900000,522,34,124,728,211,32,3.3,8,27,3.533,10784,48,100,34347,1139179,2848,358,0,12909,25939,0,1099597,64,0,30259,0,0,0,0,0,0,0,86,0
920000,519,43,110,736,188,36,3.58,8,29,3.915,11021,49,93,35095,1164821,2908,366,0,13222,26507,0,1124357,66,0,30903,0,0,0,0,0,0,0,82,0
940000,505,40,140,723,192,38,3.5,8,29,4.114,11262,49,93,35851,1190696,2986,379,0,13505,27107,0,1149344,66,0,31560,0,0,0,0,0,0,0,82,0
960000,509,49,121,729,197,41,3.315,8,27,3.942,11509,52,99,36612,1216982,3070,395,0,13795,27710,0,1174756,67,0,32236,0,0,0,0,0,0,0,77,0
980000,515,29,139,725,206,26,3.582,8,29,4.032,11753,54,92,37362,1242865,3139,403,0,14078,28278,0,1199787,70,0,32877,0,0,0,0,0,0,0,72,0
1000000,500,35,108,765,203,34,3.553,8,29,4.013,11981,54,101,38101,1267955,3211,410,0,14347,28827,0,1224043,70,0,33523,0,0,0,0,0,0,0,76,0
