t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,247,9,36,60,6,7,6,6,1,0,15,2,18,70,1739,6,0,0,8,22,0,1616,0,0,28,0,0,0,0,0,0,0,7,0
40000,164,11,45,132,22,9,5.194,6,7,2.016,50,5,24,214,5618,17,3,0,35,113,0,5298,1,0,134,0,0,0,0,0,0,0,13,0
60000,140,9,53,150,36,7,4.302,6,6,2.074,103,5,11,394,10825,24,3,0,90,271,0,10268,1,0,277,0,0,0,0,0,0,0,15,0
80000,95,19,45,193,37,16,4.075,6,8,2.557,153,6,20,591,15905,33,4,0,147,405,0,15112,1,0,446,0,0,0,0,0,0,0,20,0
100000,118,14,25,195,37,11,4.083,6,10,2.556,200,7,21,779,21367,46,5,0,214,559,0,20376,1,0,619,0,0,0,0,0,0,0,18,0
120000,112,10,41,189,43,9,4.077,6,10,2.656,247,9,24,948,26970,67,5,0,273,703,0,25768,1,0,764,0,0,0,0,0,0,0,18,0
140000,154,11,36,151,38,8,3.913,6,8,2.551,295,9,16,1106,32944,79,5,0,339,879,0,31541,1,0,879,0,0,0,0,0,0,0,10,0
160000,111,10,52,179,43,10,4.132,6,12,3.226,345,10,19,1287,38931,101,6,0,394,1002,0,37308,2,0,1031,0,0,0,0,0,0,0,21,0
180000,124,8,43,177,46,8,3.852,6,13,3.345,401,12,23,1488,45391,118,7,0,462,1172,0,43541,2,0,1206,0,0,0,0,0,0,0,20,0
200000,111,10,39,192,48,10,3.759,7,13,3.369,462,13,28,1701,51634,135,9,0,531,1331,0,49546,3,0,1411,0,0,0,0,0,0,0,26,0
220000,108,5,28,211,62,5,3.463,6,12,3.144,530,15,27,1934,57898,154,12,0,609,1481,0,55580,3,0,1612,0,0,0,0,0,0,0,27,0
240000,105,12,19,216,53,10,3.556,5,10,2.861,585,16,32,2126,64403,167,15,0,681,1618,0,61876,3,0,1791,0,0,0,0,0,0,0,27,0
260000,135,13,31,173,48,13,3.131,5,11,3.064,646,16,21,2313,71181,183,15,0,757,1787,0,68437,3,0,1943,0,0,0,0,0,0,0,17,0
280000,122,12,19,199,62,11,2.849,5,11,2.821,722,17,20,2504,78335,200,17,0,838,1913,0,75369,4,0,2101,0,0,0,0,0,0,0,20,0
