t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,271,7,22,52,8,6,4.643,6,4,1.611,17,3,28,70,1699,5,0,0,9,29,0,1592,0,0,36,0,0,0,0,0,0,0,8,0
40000,162,12,46,132,39,9,3.396,6,8,2.506,76,5,16,229,6536,15,2,0,49,106,0,6207,1,0,155,0,0,0,0,0,0,0,13,0
60000,99,9,38,206,54,9,3.714,6,9,2.435,140,7,15,448,12215,29,7,0,108,225,0,11648,1,0,345,0,0,0,0,0,0,0,25,0
80000,130,11,36,175,46,10,3.411,6,10,2.548,196,8,23,623,18560,47,7,0,181,388,0,17790,2,0,510,0,0,0,0,0,0,0,19,0
100000,117,13,44,178,55,10,3.185,6,9,2.476,266,8,7,816,24607,66,9,0,259,531,0,23601,2,0,659,0,0,0,0,0,0,0,11,0
120000,157,8,47,140,50,8,3.138,6,11,3.014,332,10,9,947,30732,82,11,0,345,679,0,29533,2,0,745,0,0,0,0,0,0,0,8,0
140000,168,8,45,131,45,7,3.212,6,9,2.883,397,11,17,1082,36613,93,14,0,422,814,0,35213,3,0,844,0,0,0,0,0,0,0,14,0
160000,160,8,56,128,46,8,3.241,6,9,2.851,462,13,16,1231,42561,110,15,0,494,951,0,40941,3,0,952,0,0,0,0,0,0,0,8,0
180000,141,9,41,161,45,8,3.604,7,10,2.94,526,13,21,1406,48743,129,18,0,568,1089,0,46895,3,0,1092,0,0,0,0,0,0,0,16,0
200000,137,12,27,176,42,10,3.673,6,11,3.036,575,14,32,1584,55408,144,18,0,629,1219,0,53363,3,0,1256,0,0,0,0,0,0,0,17,0
220000,136,12,36,168,43,11,3.556,6,11,3.013,638,15,24,1760,61894,164,22,0,704,1386,0,59605,3,0,1400,0,0,0,0,0,0,0,15,0
240000,89,12,34,217,52,10,3.726,6,11,3.047,689,16,22,1963,67580,187,24,0,753,1501,0,65083,4,0,1569,0,0,0,0,0,0,0,18,0
260000,123,20,25,184,29,17,4,7,14,3.451,733,16,21,2144,73826,201,26,0,830,1676,0,71115,5,0,1718,0,0,0,0,0,0,0,18,0
280000,130,10,34,178,38,8,4.239,7,13,3.261,789,16,28,2340,79759,218,28,0,896,1847,0,76820,5,0,1891,0,0,0,0,0,0,0,20,0
300000,119,16,32,185,30,12,4.69,7,14,3.314,833,16,32,2512,85448,236,28,0,953,1998,0,82287,5,0,2050,0,0,0,0,0,0,0,20,0
320000,114,12,46,180,38,10,4.229,7,15,3.521,879,16,20,2693,91148,250,30,0,1008,2146,0,87781,6,0,2199,0,0,0,0,0,0,0,18,0
340000,109,8,66,169,44,8,4.231,7,17,3.694,928,16,10,2846,97024,270,35,0,1073,2297,0,93445,8,0,2315,0,0,0,0,0,0,0,9,0
360000,163,9,58,122,33,9,3.929,7,15,3.586,970,16,7,2965,101994,285,38,0,1141,2464,0,98235,8,0,2400,0,0,0,0,0,0,0,6,0
