t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,435,5,14,58,13,4,3.882,6,8,2.699,14,3,6,34,1007,8,0,0,3,11,22,934,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,382,8,36,86,25,7,3.531,6,13,3.445,38,3,2,87,2551,21,1,0,18,43,36,2366,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,366,7,45,94,32,7,3.333,6,13,3.302,72,5,2,158,4942,40,3,0,47,102,49,4631,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,321,7,74,110,50,6,3.107,7,23,4.086,109,6,0,213,7551,64,7,0,75,153,60,7110,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,305,8,95,104,55,6,3.213,7,25,4.15,145,7,1,265,10112,82,11,0,112,203,66,9546,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,304,9,83,116,54,8,3.048,7,24,3.986,168,7,0,320,12451,98,18,0,135,240,78,11808,9,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,327,8,74,103,47,7,3.148,6,18,3.447,198,7,2,377,15036,118,21,0,174,305,86,14282,9,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,327,14,62,109,37,12,3.204,7,20,3.759,220,7,2,439,17255,142,24,0,203,352,95,16405,9,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,314,14,71,113,38,12,3.24,6,18,3.75,251,7,2,504,19767,166,28,0,239,405,104,18802,10,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,335,7,72,98,50,6,2.946,6,16,3.553,289,7,0,559,22170,182,29,0,278,468,113,21094,11,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,353,7,45,107,45,7,2.846,6,16,3.431,318,7,1,626,24935,208,32,0,306,512,122,23775,13,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,340,12,63,97,33,12,3.2,6,17,3.596,345,8,1,682,27492,240,36,0,337,559,127,26225,14,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,349,9,53,101,44,9,2.755,6,11,2.673,380,8,1,740,29798,267,38,0,369,621,128,28435,16,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,343,8,53,108,47,5,2.923,6,15,3.006,409,9,0,796,31991,287,40,0,397,655,129,30540,17,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,380,6,38,88,38,5,2.814,6,11,2.781,440,11,3,855,34363,320,42,0,431,715,138,32830,19,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,374,7,44,87,39,7,2.696,6,12,2.931,469,11,6,911,36752,336,43,0,458,754,138,35129,20,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,350,8,61,93,42,8,2.98,6,13,3.08,506,11,2,971,38962,351,47,0,486,790,141,37227,20,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,328,7,62,115,52,7,2.932,6,18,3.552,546,11,3,1032,41444,375,50,0,520,831,156,39593,21,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,325,8,58,121,53,8,2.869,6,15,3.332,584,12,3,1096,44052,395,50,0,556,882,158,42091,25,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,350,7,38,117,51,6,2.667,6,17,3.327,622,12,4,1169,47123,420,54,0,589,934,164,45060,27,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
