t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,392,7,21,78,6,7,4.846,6,4,1.352,19,3,3,44,761,5,0,0,8,13,33,1520,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,9,282,6,3,2.333
20000,265,11,66,124,33,14,3.936,7,21,3.896,56,4,1,96,2673,18,6,0,23,45,60,4981,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,22,964,9,2,1.778
30000,204,20,80,159,47,15,3.79,7,21,3.908,83,5,2,156,4616,37,8,0,50,91,84,8631,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,30,1503,14,2,1.571
40000,251,18,48,143,45,13,3.552,7,20,3.894,124,5,0,220,6799,65,12,0,101,197,95,12723,7,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,46,2042,8,3,1.625
50000,213,22,72,142,61,14,3.147,7,25,4.156,161,6,0,272,9080,93,16,0,137,268,103,17029,8,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,21,58,2445,11,3,1.273
60000,239,9,76,131,74,9,2.783,7,23,3.728,215,6,0,331,11086,108,22,0,188,353,103,20881,8,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,23,85,2873,5,2,1.8
70000,286,8,59,129,59,6,2.923,7,22,3.943,248,6,2,390,13340,131,30,0,234,428,121,25266,8,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,96,3279,3,2,2
80000,253,17,56,138,61,10,2.972,7,21,3.873,296,6,0,454,15878,148,35,0,273,490,139,29961,10,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,18,114,3738,6,2,1.5
90000,247,13,62,137,57,12,2.986,7,20,3.744,340,7,0,511,17930,162,37,0,316,551,140,33875,10,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,29,131,4211,10,3,1.6
100000,262,14,48,130,47,11,3.19,8,18,3.822,377,7,0,573,19859,184,41,0,359,611,153,37628,11,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,37,148,4796,7,3,1.714
110000,240,25,60,140,39,15,3.648,9,18,3.726,402,7,1,629,21992,202,45,0,397,668,170,41501,13,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,32,159,5507,12,2,1.417
120000,231,14,57,169,37,15,3.962,9,20,3.856,431,8,1,695,23982,213,47,0,425,720,185,45397,13,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,170,6173,9,2,1.667
130000,201,30,71,178,39,20,3.729,9,26,4.196,458,8,0,744,26229,240,50,0,454,773,200,49898,13,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,178,6699,12,2,1.25
140000,204,18,61,188,55,15,3.314,9,28,3.966,503,9,0,819,28577,266,53,0,494,857,228,54595,13,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,37,192,7199,11,2,1.545
150000,208,20,65,174,55,18,3.26,9,24,3.739,546,10,0,879,30871,288,55,0,536,931,245,59252,13,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,210,7812,12,2,1.417
160000,220,16,60,170,58,12,3.171,12,27,4.253,584,10,0,939,33335,308,58,0,580,998,256,63969,14,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,35,225,8249,8,3,1.75
170000,256,7,53,154,56,7,3.111,12,25,4.128,623,10,0,1001,35496,332,61,0,625,1087,266,68076,14,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,239,8769,5,4,2.4
180000,256,14,37,174,50,9,3.085,12,21,3.839,652,10,1,1066,37583,349,64,0,658,1125,279,72181,14,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,249,9432,7,5,2
190000,221,27,54,169,41,14,3.582,12,20,3.862,676,11,0,1120,39881,377,66,0,688,1165,294,76512,15,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44,255,10050,11,4,1.455
200000,219,14,54,175,43,14,3.86,12,23,4.071,710,11,0,1174,41872,400,70,0,719,1223,302,80278,15,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,49,271,10653,13,3,1.692
