t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,415,7,6,84,11,6,4.706,6,5,2.095,17,3,50,73,1006,9,0,0,6,14,13,911,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,300,10,3,199,32,8,4.7,7,11,2.969,55,5,53,258,3451,29,3,0,31,79,30,3153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,216,21,4,271,36,17,4.453,7,18,3.815,85,6,51,427,7123,63,7,0,64,153,39,6638,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,172,24,2,314,43,20,4.381,7,20,3.9,111,6,58,541,10400,94,8,0,89,216,54,9784,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,182,16,4,310,55,12,4.269,7,25,4.198,145,6,51,678,13905,130,9,0,136,322,67,13146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,159,20,3,330,52,20,4.222,7,24,3.968,175,7,47,816,17857,173,10,0,173,416,78,16945,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,163,14,3,332,59,13,4.319,7,28,4.137,209,8,56,969,22053,208,13,0,220,522,83,20990,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,176,19,2,315,55,17,4.083,6,28,4.155,249,9,53,1134,26222,237,17,0,277,657,93,24979,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,180,15,3,314,59,13,4.014,7,31,4.432,287,9,44,1291,30489,271,20,0,328,765,94,29096,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,173,19,2,318,61,14,4.093,7,29,4.303,334,10,51,1475,34911,301,23,0,378,903,101,33325,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,168,20,2,322,57,17,4.041,7,26,4.289,368,11,54,1621,39086,336,23,0,426,999,101,37355,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,160,13,5,334,65,11,4.079,7,29,4.538,402,12,47,1785,42737,364,27,0,472,1104,101,40849,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,166,16,7,323,59,15,4.108,7,29,4.532,435,12,52,1920,46595,408,31,0,515,1215,105,44563,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,176,21,1,314,53,18,4.113,6,26,4.21,472,13,52,2077,50587,456,37,0,561,1339,108,48403,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,162,21,6,323,59,16,3.987,7,29,4.343,508,14,55,2238,54663,490,37,0,614,1442,110,52309,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,134,23,3,352,59,19,4.231,7,28,4.428,542,15,51,2386,58471,528,39,0,658,1521,114,55970,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,150,25,8,329,56,18,4.108,6,33,4.598,577,16,52,2534,62223,561,41,0,709,1647,121,59563,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,144,21,2,345,58,17,4.347,7,29,4.465,613,17,49,2689,66260,600,43,0,754,1756,129,63442,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,160,15,4,333,61,14,4.267,7,31,4.486,648,17,55,2825,70431,637,44,0,803,1867,137,67470,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,143,19,4,346,61,18,4.139,6,30,4.498,688,18,52,2990,74414,673,46,0,849,1979,141,71280,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
