t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,283,20,3,205,19,14,4.091,6,5,2.066,42,5,51,146,1527,17,0,0,9,13,63,3060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,18,468,9,5,2.444
20000,177,26,2,304,29,23,4.404,6,11,2.541,85,5,53,286,4099,40,1,0,41,90,131,8390,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,41,1428,14,3,2.071
30000,130,32,1,348,51,21,3.833,6,13,2.979,128,7,56,412,6551,66,2,0,79,176,173,13528,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,55,2182,13,4,1.846
40000,134,24,1,353,52,21,4.027,6,15,3.203,172,7,56,550,9602,89,6,0,132,288,204,19831,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,67,2510,13,2,1.615
50000,97,38,0,376,51,27,3.897,7,16,3.093,203,7,52,666,12256,120,7,0,173,371,235,25282,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,82,2798,14,3,1.857
60000,116,38,1,355,49,26,3.787,7,22,3.951,243,8,53,801,15004,147,9,0,235,497,266,31018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,92,3096,19,3,1.684
70000,121,33,0,357,52,25,3.779,7,25,4.127,290,8,53,956,17931,178,11,0,294,617,291,37107,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,108,3556,20,3,1.55
80000,112,23,4,372,70,19,3.618,7,22,3.894,349,10,50,1122,21021,212,15,0,352,747,326,43414,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,138,4382,15,3,1.8
90000,132,29,1,349,61,24,3.6,6,22,3.925,385,11,56,1267,24372,249,17,0,414,864,338,50051,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,151,4841,16,3,1.438
100000,121,37,2,349,52,26,3.808,7,22,3.98,424,11,53,1418,27647,269,20,0,473,964,346,56669,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,168,5144,16,3,1.5
110000,131,27,2,351,65,20,3.612,6,25,4.162,464,13,56,1542,30364,310,22,0,519,1055,360,62325,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,186,5488,10,3,1.8
120000,108,29,2,373,67,20,3.713,6,30,4.404,511,14,50,1718,33407,338,23,0,580,1173,383,68675,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,200,5877,13,3,1.769
130000,100,30,1,378,59,26,3.706,6,26,4.373,552,14,48,1865,36032,357,23,0,635,1281,403,74109,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,220,6209,17,2,1.471
140000,108,27,1,374,61,26,3.828,7,29,4.458,588,14,54,2010,38755,386,29,0,692,1379,409,79893,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,235,6721,12,3,1.583
150000,91,32,4,381,69,25,3.755,7,34,4.688,628,16,50,2152,41921,409,32,0,738,1481,421,86100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,255,6994,13,2,1.308
160000,138,23,2,349,65,22,3.644,6,32,4.608,667,17,55,2298,45153,441,36,0,803,1614,443,92585,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,267,7174,8,3,1.375
170000,118,30,1,361,58,26,3.857,6,29,4.41,712,18,53,2466,48435,471,39,0,860,1734,464,99322,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,286,7418,11,3,1.818
180000,119,28,1,364,55,23,3.885,6,32,4.552,753,18,54,2624,51572,502,42,0,912,1854,480,105634,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,305,7958,21,3,1.619
190000,121,32,0,356,53,24,3.766,6,29,4.364,798,18,53,2797,54223,526,43,0,968,1994,495,111275,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,326,8681,15,3,1.8
200000,92,31,2,387,59,28,3.77,7,28,4.376,846,18,51,2971,57072,547,45,0,1021,2096,512,117065,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,340,9208,19,3,1.526
