t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,282,43,43,144,23,21,3.341,8,10,2.866,64,5,27,254,1073,4,1,0,65,112,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
10000,215,43,50,204,46,29,3.147,8,13,2.978,218,7,21,633,3457,9,4,0,234,358,0,6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
15000,235,39,68,170,47,26,2.918,8,13,2.886,401,9,23,1037,6074,14,6,0,471,681,0,11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
20000,226,41,60,184,49,30,2.785,6,10,2.75,576,10,22,1430,8790,23,9,0,686,984,0,16211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
25000,226,42,59,185,50,29,2.81,6,12,2.901,766,11,25,1873,11658,32,10,0,923,1274,0,21722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
30000,231,32,67,182,67,25,2.478,6,9,2.205,996,13,18,2314,14502,41,12,0,1174,1592,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
35000,226,44,57,184,51,34,2.529,6,11,1.963,1230,14,16,2737,17454,52,13,0,1446,1902,0,32466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
40000,249,35,65,163,57,28,2.482,6,9,1.683,1482,16,16,3159,20399,58,14,0,1720,2246,0,38036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
45000,258,24,61,169,68,20,2.477,6,11,1.958,1695,18,15,3574,23310,66,16,0,1975,2535,0,43431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
50000,262,33,49,168,48,27,2.693,5,12,2.556,1905,19,17,3990,26412,76,20,0,2233,2823,0,48965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
55000,259,33,58,162,61,24,2.435,5,8,1.768,2125,20,19,4423,29473,89,22,0,2483,3136,0,54675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
60000,292,16,48,156,66,16,2.341,5,7,1.327,2359,23,24,4851,32422,94,24,0,2745,3427,0,60010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
