t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,318,31,13,142,2,14,5.125,8,6,2.299,27,3,34,171,501,0,1,0,23,36,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,12,399,9,5,2.556
10000,190,30,10,264,8,19,4.222,8,8,2.549,92,7,27,437,1725,4,2,0,94,143,0,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,152,39,1391,16,6,2.688
15000,154,39,7,305,12,21,4.061,8,12,3.195,157,8,32,698,2982,9,3,0,208,286,0,5691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,164,66,2827,16,6,2.625
20000,140,35,9,319,6,16,4.682,9,12,3.318,202,9,35,907,3873,15,3,0,297,405,0,7535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,192,86,4345,11,8,4.364
25000,120,30,5,348,8,15,5.391,10,13,3.534,239,9,45,1092,4761,18,4,0,366,500,0,9190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,213,98,6062,13,8,4
30000,86,37,6,376,9,20,5,10,13,3.289,276,10,44,1268,5657,21,4,0,434,591,0,10988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,231,109,7765,17,10,3.118
35000,93,26,8,380,10,18,5.393,10,14,3.53,310,10,41,1427,6628,25,5,0,503,687,0,12771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,208,121,9594,14,9,3.357
40000,121,33,5,350,9,17,4.885,9,13,3.287,346,12,44,1612,7698,27,6,0,598,827,0,14844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,204,132,11464,13,9,3.538
45000,85,22,1,398,11,18,4.931,9,13,3.227,373,12,46,1783,8614,32,6,0,658,895,0,16621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,227,143,13325,13,9,3.846
50000,80,29,6,388,4,16,5.85,10,13,3.522,392,14,49,1918,9348,33,7,0,725,981,0,18019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,260,151,15369,15,8,3.333
55000,76,21,4,402,6,15,6.095,10,11,3.196,413,14,47,2038,10006,34,8,0,774,1043,0,19380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,245,159,17566,15,7,3.733
60000,69,27,5,404,7,18,5.6,9,17,3.859,427,14,38,2171,10699,34,8,0,846,1109,0,20661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,236,163,19792,16,6,3.313
