t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,343,27,14,110,16,18,3.294,8,11,2.288,70,4,27,222,1062,4,2,0,61,118,0,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,29,143,12,2,1.583
10000,205,46,26,216,41,28,3.203,8,12,3.098,219,8,17,615,3263,10,3,0,230,339,0,5938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,93,395,16,3,1.563
15000,214,41,38,191,50,27,2.857,7,17,2.992,396,10,13,1035,5718,14,5,0,460,655,0,10587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,167,656,20,3,1.5
20000,227,41,29,191,42,35,2.844,7,16,2.962,589,12,24,1463,8549,23,5,0,696,953,0,15638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,258,915,17,2,1.294
25000,228,40,31,185,51,30,2.79,7,13,2.773,780,13,20,1885,11502,31,6,0,939,1261,0,21111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,341,1167,20,2,1
30000,215,41,39,193,57,30,2.621,5,14,2.837,978,15,19,2305,14468,37,9,0,1181,1575,0,26274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,419,1407,23,3,1.304
35000,220,34,37,196,68,30,2.48,5,11,2.417,1197,17,15,2731,17281,49,12,0,1437,1895,0,31435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,509,1653,16,2,1.313
40000,274,36,20,152,48,27,2.44,4,9,2.27,1409,18,21,3141,20382,61,17,0,1701,2195,0,37094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,616,1924,19,3,1.368
45000,229,38,31,200,64,35,2.333,4,7,2.077,1658,19,17,3574,23472,71,17,0,1962,2464,0,42622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,716,2170,21,2,1.19
50000,269,30,29,168,65,26,2.275,4,8,1.808,1902,22,26,3976,26783,86,22,0,2260,2762,0,48621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,826,2435,15,2,1.2
55000,291,34,19,149,49,30,2.253,3,6,1.972,2153,23,20,4393,29941,92,25,0,2539,3043,0,54347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,954,2721,19,3,1.263
60000,251,31,23,180,67,32,2.212,3,6,1.916,2403,24,16,4814,33277,103,25,0,2781,3289,0,60431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,1091,3022,19,2,1.211
65000,242,37,29,178,64,34,2.224,3,6,1.679,2643,25,18,5227,36661,107,28,0,3042,3555,0,66444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,1204,3280,18,2,1.222
70000,229,24,31,186,78,29,2.187,3,4,1.204,2909,27,16,5669,39963,121,30,0,3311,3849,0,72370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,1343,3586,20,2,1.55
75000,265,22,36,155,76,24,2.08,3,5,1.057,3183,29,10,6103,43337,128,32,0,3608,4148,0,78345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,1479,3884,18,2,1.333
80000,291,25,25,153,73,23,2.031,3,4,0.531,3446,31,25,6519,46557,142,34,0,3889,4422,0,84159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,1600,4151,13,2,1.077
85000,270,29,26,164,73,27,2.07,3,4,0.726,3720,35,16,6939,50030,155,34,0,4161,4688,0,90288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,1729,4417,15,2,1.067
90000,268,22,23,167,81,23,2.038,3,4,0.653,4017,40,22,7371,53473,161,37,0,4456,4979,0,96407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,1880,4723,14,2,1.286
95000,278,16,29,161,85,19,2.019,3,4,0.234,4301,41,14,7791,56860,166,41,0,4745,5253,0,102391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,2009,4980,14,2,1.286
100000,275,24,36,144,80,22,2.02,3,2,0.139,4586,42,18,8214,60163,174,43,0,5040,5533,0,108439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,2139,5245,14,2,1.214
