t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,421,14,10,67,6,7,5.077,8,6,2.412,18,3,43,114,672,0,1,0,27,61,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,383,11,16,102,25,9,3.235,7,11,2.768,83,6,32,326,2200,8,4,0,105,180,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,377,15,14,106,36,15,2.255,4,6,1.271,211,10,27,601,4427,13,5,0,242,372,0,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,335,10,31,136,65,10,2.2,3,5,1.121,372,15,28,890,7559,18,6,0,390,532,0,6442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,372,9,22,109,48,9,2.246,3,6,1.277,541,18,27,1202,10781,33,8,0,588,741,0,9280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,328,19,26,139,48,19,2.403,3,5,1.397,703,18,32,1507,13814,39,8,0,764,915,0,11899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,362,12,19,119,49,12,2.246,3,3,1.179,889,18,31,1857,16978,50,8,0,980,1136,0,14637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,403,6,14,89,45,6,2.02,3,3,0.377,1040,18,33,2120,19822,60,9,0,1149,1304,0,17161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,395,9,19,89,45,9,2,2,2,0.31,1175,22,38,2333,22161,63,9,0,1281,1426,0,19222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,372,15,19,106,47,15,2.016,3,3,0.238,1365,24,28,2643,25050,74,10,0,1465,1594,0,21710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,382,13,17,100,44,13,2.035,3,4,0.562,1512,28,31,2899,27953,85,13,0,1619,1739,0,24310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,354,6,29,123,70,6,2,2,1,0,1697,32,30,3212,31077,92,14,0,1786,1890,0,27058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65000,336,9,33,134,74,9,2.012,3,2,0.094,1890,33,32,3526,34448,98,17,0,1973,2057,0,30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,368,12,20,112,54,12,2,2,1,0,2063,33,34,3813,37967,111,19,0,2163,2237,0,33185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000,346,21,27,118,51,21,2.014,3,4,0.316,2243,36,28,4119,40994,121,24,0,2339,2399,0,35832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,391,5,21,95,53,5,2,2,2,0.126,2383,39,23,4358,43569,130,25,0,2493,2536,0,38126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85000,432,6,9,65,29,5,2.176,3,3,0.978,2489,39,39,4560,45849,137,26,0,2626,2652,0,40165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,395,4,20,93,46,4,2.18,3,4,1.284,2608,41,38,4763,48071,145,29,0,2733,2754,0,42124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95000,365,9,32,106,58,9,2.06,3,3,0.799,2775,43,24,5043,50885,152,30,0,2893,2902,0,44577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,373,9,22,108,53,9,2.081,3,5,1.143,2944,45,26,5329,53793,159,34,0,3069,3077,0,47128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
