t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,384,19,37,72,29,12,2.488,4,7,1.956,82,5,30,160,891,3,1,0,57,80,0,1634,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
10000,319,20,43,130,60,17,2.195,3,4,0.948,313,9,25,550,3455,8,2,0,248,284,0,6258,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
15000,284,32,47,149,60,27,2.172,3,3,0.761,561,11,15,945,6395,17,4,0,469,504,0,11482,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
20000,325,19,46,122,60,18,2.115,3,4,0.719,812,15,17,1336,9584,22,6,0,706,733,0,17312,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
25000,321,19,44,128,67,18,2.024,3,5,0.436,1093,16,24,1747,12578,28,12,0,947,958,0,22894,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
30000,321,22,42,127,62,21,2.036,3,4,0.608,1382,19,23,2157,15717,41,16,0,1193,1196,0,28561,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
35000,298,26,56,131,70,24,2,2,2,0.204,1667,22,11,2555,18884,48,18,0,1416,1401,0,34226,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
40000,326,15,47,124,70,15,2.012,3,2,0.092,1950,24,26,2936,21958,56,19,0,1667,1633,0,39814,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
45000,309,23,46,134,65,22,2.046,3,2,0.269,2217,28,18,3323,25241,58,20,0,1896,1850,0,45756,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
50000,297,27,52,136,65,26,2.066,3,2,0.351,2493,30,18,3725,28426,72,24,0,2136,2083,0,51553,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
55000,275,23,69,145,82,23,2.038,3,3,0.583,2781,32,22,4136,31701,80,27,0,2370,2310,0,57413,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
60000,339,24,38,111,49,23,2.042,3,4,0.459,3051,34,22,4538,34919,91,28,0,2634,2561,0,63331,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
