t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,438,13,9,52,12,6,2.944,7,9,2.324,27,4,48,94,646,1,1,0,29,39,0,520,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,395,12,16,89,24,12,2.75,6,7,2.15,118,7,38,302,2335,5,2,0,122,157,0,1934,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,357,15,18,122,41,15,2.5,5,8,2.247,255,8,26,595,4847,15,4,0,259,321,0,4070,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,355,10,25,122,52,10,2.355,4,4,1.328,402,12,30,891,7732,20,7,0,410,473,0,6609,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,342,15,28,127,54,15,2.174,4,8,1.367,586,17,28,1208,10830,24,14,0,590,653,0,9290,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,378,8,19,107,48,8,2.232,3,5,1.602,728,18,29,1475,13555,26,17,0,751,817,0,11692,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,362,12,18,120,53,12,2.077,3,4,0.989,907,20,36,1790,16637,37,18,0,926,985,0,14362,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,358,13,25,116,55,13,2.059,3,4,0.699,1084,24,23,2084,19615,44,20,0,1096,1145,0,16960,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,402,9,8,93,41,8,2.041,3,3,0.828,1244,25,27,2381,22605,49,24,0,1272,1323,0,19617,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,359,8,26,119,63,8,2.042,3,3,0.955,1399,28,27,2616,25332,52,28,0,1399,1446,0,22024,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,383,12,17,100,44,11,2.091,3,3,0.66,1578,30,31,2928,28527,60,31,0,1590,1626,0,24826,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,383,12,27,90,44,12,2.089,3,3,0.499,1751,32,29,3209,31277,64,32,0,1755,1789,0,27193,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
