t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,423,14,12,56,8,10,3.333,6,8,2.552,37,4,34,115,474,2,2,0,38,54,0,857,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,306,7,2,1.429
10000,319,22,14,136,47,22,2.203,4,7,1.423,212,10,26,444,2480,9,3,0,172,213,0,4369,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,103,1345,15,3,1.333
15000,333,24,17,117,48,21,2.232,4,5,1.564,461,13,22,830,5405,19,6,0,402,452,0,9517,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,216,2139,13,2,0.923
20000,295,25,24,139,59,23,2.122,4,5,1.209,690,15,16,1210,7985,24,9,0,605,658,0,14342,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,339,3017,14,3,1.286
25000,333,19,28,104,55,21,2.013,3,3,0.813,949,18,12,1589,10942,30,11,0,838,889,0,19507,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,465,3553,12,2,1.25
30000,338,18,21,114,57,19,2,2,2,0.831,1197,21,24,1960,13676,39,12,0,1046,1079,0,24353,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,585,3970,12,2,1.167
35000,370,14,20,86,44,17,2,2,3,0.833,1434,24,26,2309,16182,44,13,0,1254,1267,0,28936,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,707,4414,10,2,1.2
40000,309,18,37,112,69,19,2.011,3,4,1.349,1734,26,16,2737,19057,50,17,0,1481,1478,0,34004,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,853,4921,10,2,1.4
45000,343,17,14,116,52,19,2,2,3,1.148,1982,28,27,3108,21774,53,19,0,1709,1698,0,38849,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,978,5393,14,2,1.357
50000,340,19,23,115,53,19,2.069,3,5,1.208,2241,31,36,3492,24618,63,24,0,1938,1913,0,43955,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1111,5882,14,2,1.143
55000,324,30,24,104,51,27,2.026,3,4,0.431,2513,33,26,3884,27667,67,26,0,2153,2114,0,49492,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,1253,6371,15,1,1
60000,326,24,17,119,56,22,2.038,3,6,0.78,2779,35,20,4281,30695,77,33,0,2388,2334,0,54878,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,1387,6883,12,2,1
65000,309,20,29,130,67,21,2.057,3,4,0.68,3088,37,21,4731,33839,88,35,0,2645,2582,0,60567,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,1541,7443,9,2,1.111
70000,327,24,23,113,56,22,2.038,3,4,0.441,3356,39,17,5119,36791,96,41,0,2890,2806,0,65824,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,1671,7928,16,2,1.063
75000,298,28,32,133,62,27,2.056,3,2,0.312,3629,41,22,5492,39749,103,44,0,3115,3022,0,71118,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,1795,8393,15,2,1.067
80000,298,20,33,130,71,20,2.066,3,5,0.533,3921,45,17,5914,43024,113,48,0,3364,3263,0,76860,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,1932,8932,13,2,1.077
85000,319,13,16,133,73,13,2.047,3,4,0.341,4191,47,22,6333,46171,121,51,0,3617,3496,0,82493,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,2066,9477,7,2,1.143
90000,295,28,22,137,61,26,2.08,3,4,0.529,4445,51,16,6723,49265,127,55,0,3826,3696,0,88110,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,2203,9971,16,2,1.188
95000,347,20,9,112,50,19,2.014,3,3,0.483,4692,53,18,7115,52363,131,57,0,4060,3923,0,93557,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,2331,10516,12,2,1.25
100000,320,17,25,118,66,18,2.036,4,5,0.688,4960,54,16,7514,55151,137,63,0,4276,4121,0,98541,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,2463,11021,12,2,1.167
