t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,292,40,21,144,11,15,4.077,9,13,3.383,39,4,31,231,754,4,1,0,53,91,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,17,1145,12,5,2
10000,211,43,31,198,28,30,3.293,9,17,3.561,153,6,15,603,2367,10,5,0,206,323,0,4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,46,64,3099,23,4,1.304
15000,198,47,25,211,43,31,2.851,9,14,2.681,312,8,22,990,4712,16,8,0,403,616,0,9022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,129,4318,22,4,1.591
20000,197,38,37,210,52,24,2.921,9,18,3.182,476,10,18,1399,7074,23,10,0,623,896,0,13495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,205,5544,17,2,1.471
25000,225,39,27,185,50,30,2.612,9,14,2.455,669,12,16,1812,9824,31,13,0,872,1209,0,18579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,26,285,6358,17,3,1.353
30000,209,42,32,200,51,35,2.593,7,13,2.524,858,14,21,2227,12613,37,18,0,1099,1482,0,23756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,368,7654,23,3,1.261
35000,234,27,23,197,71,18,2.517,7,14,2.393,1072,17,14,2653,15623,44,20,0,1358,1790,0,29292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,473,8872,10,4,1.8
40000,229,38,28,186,57,29,2.453,6,14,2.202,1302,19,20,3088,18749,58,22,0,1630,2117,0,34852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,569,9785,16,2,1.438
45000,261,26,38,160,50,25,2.707,7,14,2.88,1497,19,16,3489,21380,63,26,0,1873,2430,0,39864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,653,11196,12,2,1
50000,236,31,40,176,57,28,2.459,5,10,2.291,1702,20,16,3902,24292,68,31,0,2107,2717,0,45146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,738,12130,20,3,1.4
55000,245,36,27,179,56,30,2.395,5,11,1.997,1918,22,14,4322,27327,77,34,0,2358,3014,0,50646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,841,13437,18,2,1.5
60000,282,30,24,146,51,25,2.368,4,8,1.933,2155,25,23,4742,30108,88,36,0,2639,3329,0,55782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,949,14099,15,3,1.333
65000,283,22,32,151,64,21,2.341,4,9,1.822,2383,25,21,5165,33129,100,38,0,2887,3605,0,61320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,1050,14861,12,2,1.25
70000,277,25,29,148,61,24,2.235,4,8,1.982,2625,26,14,5580,36041,107,41,0,3146,3895,0,66488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,1163,15582,20,2,1.3
75000,254,28,32,178,82,23,2.114,4,7,1.392,2881,28,15,6011,39280,114,43,0,3401,4167,0,72429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,1275,16264,12,2,1.167
80000,280,27,25,152,70,25,2.116,4,7,1.137,3153,29,24,6428,42758,123,45,0,3690,4470,0,78773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,1418,16910,12,2,1.083
85000,294,29,16,146,63,25,2.08,4,7,1.454,3408,31,16,6858,45879,131,49,0,3964,4727,0,84533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,1554,17463,18,2,1.111
90000,270,23,28,172,86,21,2.028,3,5,1.486,3679,33,18,7282,49295,139,50,0,4227,4975,0,90711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,1673,17948,12,2,1.083
95000,292,18,24,158,83,18,2,2,3,1.214,3967,35,22,7693,52668,148,50,0,4524,5258,0,96939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,1822,18530,9,1,1
100000,283,21,24,156,74,25,2.02,3,4,0.736,4260,37,17,8105,56079,159,54,0,4816,5536,0,103125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,1955,18972,18,2,1.167
