t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,508,0,0,3,0,1,2,2,1,0,26,5,55,45,278,0,0,0,22,28,0,491,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,56,1,1,1
10000,499,1,1,10,5,1,2,2,1,0,51,10,54,84,490,1,0,0,37,44,0,834,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,94,0,0,0
15000,424,10,12,55,24,11,2,2,2,0.316,134,15,39,204,1197,1,0,0,67,71,0,2007,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,67,204,10,2,1.2
20000,360,17,20,97,44,18,2.016,3,2,0.119,343,17,20,517,3276,7,1,0,169,166,0,5553,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,171,524,14,2,1.357
25000,345,19,13,113,49,20,2,2,2,0.109,599,21,22,884,5800,12,4,0,328,312,0,9783,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,290,940,13,2,1.385
30000,372,10,10,104,49,13,2,2,2,0.459,849,25,23,1242,8316,19,6,0,500,470,0,14027,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,403,1344,9,2,1.333
35000,388,20,13,84,26,21,2,2,2,0.747,1092,29,24,1610,10720,23,9,0,660,616,0,18154,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,513,1704,13,2,1.308
40000,320,25,23,123,49,27,2.013,3,3,0.66,1348,33,24,1998,13194,29,11,0,810,754,0,22403,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,635,2079,21,2,1.286
45000,380,20,18,80,25,21,2.109,3,5,1.072,1566,36,21,2349,15657,38,19,0,973,902,0,26771,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,742,2459,13,3,1.462
50000,397,10,15,74,34,11,2.044,3,4,1.069,1785,39,18,2692,17992,45,21,0,1125,1050,0,30696,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,849,2920,8,2,1.75
55000,386,12,13,87,33,16,2.061,3,4,0.897,1973,43,28,3010,19970,50,25,0,1238,1150,0,34115,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,931,3267,13,2,1.385
60000,394,12,11,75,33,15,2,2,2,0.544,2168,48,24,3315,22043,53,27,0,1361,1263,0,37712,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,1023,3547,11,2,1.364
65000,363,18,12,98,36,23,2.017,3,3,0.54,2409,52,22,3682,24593,60,28,0,1491,1380,0,42153,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,1135,3918,14,2,1.429
70000,389,17,15,76,29,20,2,2,1,0,2645,57,32,4021,27129,67,30,0,1641,1519,0,46539,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1233,4233,9,2,1.444
75000,395,9,21,70,40,11,2,2,1,0,2899,60,25,4379,29640,69,33,0,1809,1678,0,50651,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,1341,4590,9,2,1.222
80000,345,23,22,100,40,24,2,2,2,0.201,3125,61,24,4728,32008,77,35,0,1950,1812,0,54628,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,1447,4912,17,2,1.471
85000,371,11,23,94,47,14,2,2,1,0,3369,62,22,5100,34573,84,37,0,2116,1968,0,59066,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,1572,5364,10,2,1.3
90000,401,13,9,78,29,15,2,2,1,0,3592,64,38,5432,36920,92,38,0,2270,2108,0,63079,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1678,5735,8,2,1.5
95000,381,15,11,83,37,16,2,2,2,0.657,3819,65,22,5779,39042,100,41,0,2404,2234,0,66636,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,1788,6089,13,2,1.385
100000,380,15,17,81,34,18,2,2,3,0.875,4033,69,24,6094,41252,103,43,0,2546,2361,0,70403,0,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,1881,6411,14,2,1.429
