t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,389,23,2,88,1,9,4.5,7,6,2.322,19,3,42,120,465,2,1,0,30,38,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,46,7,190,9,6,2.444
10000,280,27,26,158,26,23,2.898,7,12,2.987,143,7,23,407,2146,11,2,0,141,188,0,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,60,57,890,18,4,1.722
15000,233,26,22,209,44,24,2.471,7,11,2.146,302,9,28,769,4406,15,4,0,318,387,0,7817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,89,128,1930,19,5,2.105
20000,238,31,15,203,37,25,2.629,7,13,2.607,457,12,26,1115,6838,24,7,0,521,600,0,12104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78,201,2955,20,6,1.95
25000,215,30,27,219,40,29,2.594,7,13,2.229,625,14,19,1488,9248,27,10,0,716,836,0,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,87,271,3859,19,6,1.947
30000,227,36,33,203,45,29,2.554,7,14,2.111,799,17,24,1864,11962,36,13,0,926,1095,0,21281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,62,345,4719,22,5,1.682
35000,237,22,19,210,69,23,2.217,6,8,1.17,1016,19,24,2263,14749,43,16,0,1158,1347,0,26027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,51,442,5476,15,5,1.8
40000,258,28,37,172,56,25,2.309,6,8,1.106,1228,20,21,2641,17643,49,18,0,1411,1598,0,31081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,531,6215,19,4,1.474
45000,259,31,26,176,43,29,2.403,6,10,1.639,1417,21,24,3038,20398,55,19,0,1626,1841,0,35966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,613,6910,20,4,1.35
50000,237,29,31,189,61,26,2.345,6,6,1.691,1638,24,16,3458,23281,62,20,0,1854,2099,0,41129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,711,7651,18,4,1.667
55000,272,35,29,158,50,30,2.263,6,8,1.591,1867,27,20,3878,26325,73,22,0,2112,2395,0,46403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,802,8194,21,2,1.286
60000,259,25,27,173,59,31,2.122,6,7,0.839,2110,29,20,4294,29452,81,23,0,2351,2645,0,51917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,921,8612,19,4,1.737
65000,286,24,23,149,57,25,2.171,6,6,0.998,2345,31,14,4692,32875,87,26,0,2611,2896,0,57858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,1023,9084,20,3,1.45
70000,304,22,25,142,53,23,2.197,6,9,1.125,2575,33,23,5078,35955,99,29,0,2859,3147,0,63232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,1132,9633,16,2,1.25
75000,262,25,30,161,65,30,2.147,3,6,1.282,2829,35,20,5510,39086,105,32,0,3104,3398,0,68826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1254,10234,23,2,1.304
80000,263,27,30,166,58,32,2.156,3,5,1.195,3071,37,21,5920,42307,116,36,0,3359,3661,0,74482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,1368,10797,19,3,1.526
85000,302,21,19,136,41,30,2.155,3,6,1.147,3321,40,20,6339,45493,126,36,0,3637,3936,0,80146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,1493,11308,22,3,1.682
90000,267,26,31,168,52,30,2.244,4,6,1.138,3556,41,18,6750,48507,134,42,0,3879,4182,0,85469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,1606,12055,18,3,1.611
95000,250,24,25,182,54,29,2.289,4,9,1.474,3770,44,19,7159,51333,139,47,0,4110,4422,0,90430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,52,1703,12847,21,4,1.714
100000,252,25,36,182,55,24,2.405,4,8,2,3977,45,14,7549,54145,146,50,0,4349,4674,0,95342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,46,1790,13550,15,3,1.8
