t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,360,30,8,104,7,17,3.583,7,8,2.777,39,5,38,143,586,2,0,0,34,48,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,20,202,14,3,1.429
10000,246,35,18,188,25,21,3.522,7,13,3.358,165,6,29,522,2428,7,0,0,189,259,0,4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,69,739,15,3,1.8
15000,208,41,30,197,33,31,3.078,7,13,2.892,310,8,17,899,4584,10,1,0,366,535,0,8536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,55,129,1252,20,4,1.7
20000,259,36,26,166,36,30,2.742,7,13,2.516,485,11,14,1300,7091,20,5,0,601,863,0,13050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,211,1713,19,2,1.316
25000,249,25,24,186,58,24,2.585,6,12,2.163,691,13,19,1692,9915,26,7,0,826,1155,0,18015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,300,2110,14,2,1.429
30000,292,21,22,154,51,22,2.438,5,8,2.168,902,16,25,2096,12580,35,11,0,1074,1458,0,22791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,392,2474,16,2,1.375
35000,245,34,38,166,61,28,2.393,5,10,2.17,1119,17,17,2491,15307,42,14,0,1310,1710,0,27781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,502,2882,16,2,1.25
40000,298,22,11,150,38,27,2.538,4,9,2.742,1333,20,25,2923,18279,50,16,0,1559,2011,0,33018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,601,3245,21,2,1.429
45000,217,33,39,182,64,33,2.381,4,7,2.356,1553,23,11,3338,21298,57,18,0,1779,2257,0,38308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,713,3692,21,3,1.476
50000,254,28,32,168,58,30,2.284,4,8,2.361,1782,23,25,3759,24469,61,22,0,2042,2549,0,43986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,822,4012,21,3,1.476
55000,243,31,30,181,63,34,2.237,4,9,2.18,2021,25,22,4180,27553,68,26,0,2288,2828,0,49537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,935,4374,25,2,1.28
60000,286,23,34,146,70,20,2.167,3,6,1.784,2268,27,20,4590,30774,75,29,0,2574,3127,0,55416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,1057,4738,12,2,1.167
