t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,281,47,15,156,6,17,5.435,9,10,3.154,30,4,33,222,727,3,1,0,35,79,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,9,137,14,4,1.643
10000,202,49,28,213,20,26,3.978,9,20,3.942,131,7,20,611,2520,10,4,0,186,330,0,5109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,48,355,17,3,1.706
15000,213,49,26,199,23,34,3.491,7,21,3.995,252,8,13,1016,4456,12,5,0,375,664,0,8738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,90,598,30,3,1.4
20000,209,63,18,208,20,38,3.517,7,20,3.943,389,9,19,1421,6999,18,7,0,588,957,0,13385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,151,849,24,2,1.333
25000,204,35,27,211,51,27,3.013,7,15,3.216,578,11,21,1836,9838,30,7,0,811,1275,0,18429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,224,1092,18,3,1.611
30000,231,40,28,181,47,27,2.865,7,13,2.774,739,12,17,2252,12585,38,9,0,1041,1585,0,23481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,289,1319,15,2,1.333
35000,241,33,26,185,47,26,2.726,7,12,2.624,923,15,20,2659,15423,44,13,0,1277,1874,0,28507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,370,1568,20,2,1.4
40000,197,48,26,220,42,34,3.145,7,17,3.098,1098,16,19,3100,18045,52,15,0,1500,2189,0,33312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,453,1848,21,2,1.286
45000,222,36,44,182,55,29,2.774,6,12,2.639,1299,18,18,3524,20714,63,17,0,1742,2518,0,38154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,536,2099,17,2,1.176
50000,253,40,25,170,47,35,2.549,5,11,2.562,1512,19,18,3949,23708,71,18,0,1994,2845,0,43602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,632,2340,20,2,1.15
55000,265,25,27,171,65,25,2.356,5,10,2.411,1731,22,13,4354,26750,81,21,0,2235,3131,0,48958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,731,2578,12,2,1.167
60000,282,21,23,154,59,19,2.346,5,8,1.879,1958,24,17,4759,29674,87,22,0,2492,3418,0,54246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,847,2835,15,2,1.333
