t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,381,16,10,97,0,5,6.4,8,5,2.322,13,3,43,110,337,0,2,0,21,22,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,7,757,5,6,3.4
10000,274,26,6,193,5,8,4.615,12,9,2.969,53,6,42,277,948,1,3,0,62,64,0,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,145,28,2550,8,10,4.25
15000,201,29,5,260,9,13,3.955,13,11,2.986,126,8,41,522,1908,4,5,0,145,184,0,3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,191,59,5017,10,11,4.9
20000,186,33,8,276,5,14,4.842,13,14,3.577,172,10,39,726,2980,9,5,0,236,295,0,5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,197,80,8350,11,12,4.455
25000,180,29,8,287,5,9,5.429,11,13,3.664,225,11,44,939,3929,10,5,0,327,423,0,7463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,222,102,11798,9,10,5.667
30000,172,39,6,290,2,10,5.25,10,10,3.252,259,13,37,1118,4695,14,5,0,403,534,0,8879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,225,114,15195,8,16,6.375
35000,151,38,7,314,5,7,5,10,9,2.918,293,13,46,1296,5370,16,7,0,475,632,0,10133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,249,126,19021,7,15,7.286
40000,131,44,9,318,1,12,5.615,11,12,3.547,329,16,40,1460,5968,19,8,0,545,735,0,11232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,254,146,23542,12,15,5.083
45000,126,27,6,346,3,10,6.231,10,12,3.547,368,17,43,1641,6691,21,9,0,619,831,0,12636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,258,167,27179,9,16,6.667
50000,104,27,5,372,7,14,4.571,11,14,3.594,401,19,36,1801,7540,27,10,0,685,907,0,14126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,274,178,30532,13,22,4.923
55000,132,26,4,345,1,8,5.667,10,9,3.17,430,20,50,1930,8257,29,12,0,755,994,0,15509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,275,194,34309,6,26,10.833
60000,130,24,7,345,4,9,5.385,11,12,3.547,452,20,45,2050,9010,30,14,0,818,1057,0,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,258,204,38040,9,22,7.333
