t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,75,19,9,409,72,17,4.427,7,11,2.494,137,6,23,621,10971,17,6,0,72,168,0,10316,3,0,0,0,0,0,0,0,0,0,0,0
40000,68,25,2,417,70,22,4.185,7,15,3.061,215,7,19,984,22449,46,14,0,172,427,0,21431,3,0,0,0,0,0,0,0,0,0,0,0
60000,64,32,7,409,61,25,4.233,7,15,3.335,293,8,21,1355,33981,79,19,0,282,700,0,32577,3,0,0,0,0,0,0,0,0,0,0,0
80000,65,16,9,422,83,13,4.208,7,15,3.365,394,9,24,1768,46223,114,29,0,392,994,0,44420,3,0,0,0,0,0,0,0,0,0,0,0
100000,75,25,5,407,60,23,4.506,7,13,3.239,466,10,23,2111,57967,142,30,0,501,1242,0,55817,5,0,0,0,0,0,0,0,0,0,0,0
120000,72,28,11,401,55,25,4.525,7,17,3.528,547,10,26,2484,68741,182,33,0,615,1515,0,66202,5,0,0,0,0,0,0,0,0,0,0,0
140000,51,27,13,421,64,23,4.598,7,19,3.5,628,12,23,2868,78259,204,38,0,722,1776,0,75334,5,0,0,0,0,0,0,0,0,0,0,0
160000,68,26,14,404,63,23,4.337,8,20,3.752,705,13,20,3242,88576,225,40,0,832,2064,0,85268,5,0,0,0,0,0,0,0,0,0,0,0
180000,62,30,6,414,67,22,4.191,8,24,3.828,782,13,23,3607,98418,253,44,0,935,2324,0,94745,5,0,0,0,0,0,0,0,0,0,0,0
200000,69,22,23,398,75,20,4.021,7,25,3.986,871,14,19,3983,109230,280,50,0,1049,2604,0,105174,6,0,0,0,0,0,0,0,0,0,0,0
220000,61,27,6,418,69,23,4.261,12,24,4.013,959,17,24,4396,121067,312,56,0,1161,2883,0,116610,6,0,0,0,0,0,0,0,0,0,0,0
240000,59,31,8,414,68,25,4.086,12,24,4.034,1051,18,19,4808,132392,336,64,0,1287,3183,0,127514,7,0,0,0,0,0,0,0,0,0,0,0
260000,62,21,8,421,75,17,4.359,12,24,4.027,1137,19,24,5197,143073,366,67,0,1406,3450,0,137815,7,0,0,0,0,0,0,0,0,0,0,0
280000,92,14,19,387,79,10,4.281,12,24,4.022,1217,19,24,5553,154310,393,75,0,1516,3737,0,148690,7,0,0,0,0,0,0,0,0,0,0,0
300000,61,26,7,418,71,20,4.264,12,27,4.176,1303,19,22,5948,165619,426,80,0,1626,3998,0,159602,7,0,0,0,0,0,0,0,0,0,0,0
320000,66,28,3,415,63,20,4.446,12,28,4.348,1386,19,24,6350,176152,451,84,0,1755,4276,0,169732,7,0,0,0,0,0,0,0,0,0,0,0
340000,57,30,10,415,62,24,4.407,12,28,4.15,1464,20,23,6688,185942,470,89,0,1864,4515,0,179167,8,0,0,0,0,0,0,0,0,0,0,0
360000,56,24,11,421,71,17,4.307,12,24,3.946,1556,21,21,7096,197016,498,95,0,1991,4797,0,189831,8,0,0,0,0,0,0,0,0,0,0,0
380000,54,28,3,427,70,22,4.315,12,26,4.087,1652,24,23,7530,207904,507,102,0,2124,5099,0,200285,8,0,0,0,0,0,0,0,0,0,0,0
