t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
20000,69,21,7,415,89,20,3.541,7,12,2.662,175,7,21,582,12337,26,8,0,94,182,82,11639,2,0,0,0,0,0,0,0,0,0,0,0
40000,51,22,5,434,87,18,3.914,7,13,3.029,282,10,20,954,24440,48,17,0,230,444,124,23336,5,0,0,0,0,0,0,0,0,0,0,0
60000,76,28,7,401,65,26,3.978,7,15,3.339,369,10,24,1292,36463,77,25,0,358,742,172,34965,5,0,0,0,0,0,0,0,0,0,0,0
80000,62,20,8,422,87,17,3.865,6,17,3.262,477,10,23,1689,48333,103,31,0,483,1058,235,46384,5,0,0,0,0,0,0,0,0,0,0,0
100000,75,26,6,405,79,22,3.703,7,21,3.544,568,13,20,2037,58901,141,38,0,620,1315,266,56573,6,0,0,0,0,0,0,0,0,0,0,0
120000,64,19,14,415,82,17,4.081,7,22,3.929,663,15,23,2383,70396,162,44,0,740,1579,309,67677,6,0,0,0,0,0,0,0,0,0,0,0
140000,54,25,4,429,75,23,3.898,7,24,3.934,750,17,25,2722,80467,187,52,0,857,1833,356,77371,6,0,0,0,0,0,0,0,0,0,0,0
160000,55,24,3,430,73,20,4.301,6,25,4.251,843,19,24,3082,91231,219,59,0,986,2121,406,87724,7,0,0,0,0,0,0,0,0,0,0,0
180000,72,36,5,399,63,29,3.957,7,25,4.218,929,19,22,3421,101652,249,63,0,1103,2414,441,97753,7,0,0,0,0,0,0,0,0,0,0,0
200000,97,23,9,383,70,21,3.945,7,24,4.283,1016,19,24,3739,111902,279,68,0,1215,2688,488,107643,7,0,0,0,0,0,0,0,0,0,0,0
220000,79,26,7,400,75,22,3.856,8,18,3.833,1125,19,18,4119,123771,305,79,0,1353,2976,544,119073,7,0,0,0,0,0,0,0,0,0,0,0
240000,72,24,3,413,79,20,3.909,7,20,3.939,1223,19,22,4490,135645,329,86,0,1480,3262,590,130535,8,0,0,0,0,0,0,0,0,0,0,0
260000,79,23,6,404,81,22,3.728,6,18,3.603,1320,20,18,4812,146737,350,93,0,1609,3521,645,141248,8,0,0,0,0,0,0,0,0,0,0,0
280000,60,27,13,412,84,23,3.701,6,18,3.65,1432,21,20,5196,159546,383,98,0,1750,3816,702,153604,8,0,0,0,0,0,0,0,0,0,0,0
300000,62,25,4,421,91,22,3.549,7,17,3.629,1561,21,23,5614,172444,411,105,0,1902,4140,749,166030,8,0,0,0,0,0,0,0,0,0,0,0
320000,73,19,8,412,98,17,3.496,7,19,3.625,1670,24,25,5960,185213,440,114,0,2035,4420,799,178402,8,0,0,0,0,0,0,0,0,0,0,0
340000,91,23,1,397,83,21,3.558,6,18,3.418,1783,24,18,6363,198324,473,123,0,2182,4759,860,191052,8,0,0,0,0,0,0,0,0,0,0,0
360000,87,29,7,389,76,23,3.737,8,21,3.642,1906,26,23,6766,212288,498,131,0,2340,5069,915,204546,8,0,0,0,0,0,0,0,0,0,0,0
380000,64,23,6,419,88,20,3.676,9,21,3.844,2013,28,25,7126,224556,534,135,0,2462,5338,968,216403,8,0,0,0,0,0,0,0,0,0,0,0
400000,91,26,6,389,85,20,3.571,9,20,3.825,2133,31,22,7534,238038,565,138,0,2613,5671,1012,229420,8,0,0,0,0,0,0,0,0,0,0,0
420000,77,18,6,411,95,15,3.573,10,24,3.815,2242,32,21,7911,251937,596,144,0,2748,5932,1049,242913,9,0,0,0,0,0,0,0,0,0,0,0
440000,62,29,7,414,87,26,3.513,9,20,3.569,2368,33,22,8355,264725,631,151,0,2899,6263,1084,255201,9,0,0,0,0,0,0,0,0,0,0,0
460000,66,22,7,417,95,19,3.386,9,22,3.564,2490,34,23,8751,277998,658,161,0,3048,6553,1122,268041,9,0,0,0,0,0,0,0,0,0,0,0
480000,60,25,7,420,85,19,3.615,9,18,3.471,2588,35,25,9116,290559,690,165,0,3182,6814,1146,280205,9,0,0,0,0,0,0,0,0,0,0,0
500000,61,22,11,418,88,16,3.846,10,25,3.9,2683,35,24,9460,302086,726,174,0,3295,7063,1162,291376,9,0,0,0,0,0,0,0,0,0,0,0
520000,77,18,142,275,83,18,3.871,10,26,4.035,2775,36,1,9632,311658,751,180,0,3413,7339,1173,300574,9,0,0,0,0,0,0,0,0,0,0,0
