t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,786,44,121,89,24,21,4.133,5,12,2.654,138,5,2,100,743,278,8,5,179,151,86,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,780,37,131,92,29,23,3.885,5,10,2.348,315,8,1,226,1576,594,26,9,504,367,204,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,742,45,139,114,22,30,4.519,5,9,1.767,476,11,1,345,2342,897,36,9,765,544,332,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,771,44,126,99,27,22,4.224,5,12,2.195,678,14,0,472,3239,1260,47,11,1092,782,455,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,764,33,160,83,33,20,4.245,5,11,2.181,890,16,3,597,4182,1640,58,15,1405,1050,593,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,869,24,85,62,15,17,4.313,5,7,1.811,1043,17,3,698,4863,1905,63,21,1692,1240,702,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,803,28,138,71,31,16,4.17,5,13,2.381,1229,21,2,809,5678,2233,71,26,1960,1423,830,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,887,21,78,54,16,12,4.143,5,7,2.039,1384,23,2,919,6352,2487,78,30,2240,1605,937,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,780,36,131,93,22,22,4.523,7,12,2.059,1585,25,0,1039,7305,2866,85,35,2532,1845,1113,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,789,27,152,72,30,20,4.28,5,8,1.674,1771,27,1,1143,8172,3215,94,41,2821,2114,1214,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,782,28,159,71,29,22,4.353,5,10,1.898,1970,29,0,1273,9158,3605,108,46,3164,2387,1340,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,834,23,120,63,29,14,4.023,5,11,2.157,2128,31,1,1384,9871,3883,116,49,3419,2593,1424,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,866,29,85,60,12,15,4.778,5,4,0.679,2296,34,2,1504,10600,4165,126,52,3702,2783,1545,0,0,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,836,34,93,77,15,18,4.515,5,7,1.28,2431,34,1,1608,11266,4427,129,54,3923,2955,1675,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,788,37,127,88,25,20,4.333,5,8,1.619,2633,37,1,1741,12242,4800,140,57,4256,3203,1815,0,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
