t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,726,43,184,87,22,20,5.762,8,15,3.054,150,6,0,116,999,306,11,0,235,274,95,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,739,42,158,101,17,20,6.162,8,15,3.228,331,8,2,220,2031,610,19,0,563,704,195,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,575,78,215,171,18,25,6.721,8,19,3.186,492,8,0,337,3374,979,27,0,915,1226,304,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,505,79,278,178,22,32,6.759,8,17,2.939,664,8,0,465,4803,1337,35,0,1315,1855,371,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,551,71,264,154,27,27,6.444,8,14,2.842,843,8,0,589,6229,1705,45,0,1736,2520,475,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,680,56,179,125,19,24,5.791,8,21,3.803,1020,8,1,718,7424,2012,59,0,2154,3095,564,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,773,49,102,116,8,15,6.783,8,12,2.975,1167,10,1,844,8488,2282,68,0,2528,3596,656,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,722,42,170,106,14,18,7.063,8,13,2.764,1325,11,2,966,9724,2591,78,0,2883,4137,737,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,518,81,262,179,22,30,7.038,8,16,2.927,1482,11,0,1106,11073,2932,87,0,3217,4670,855,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,578,65,233,164,23,25,6.667,8,13,2.702,1671,12,0,1209,12475,3288,109,0,3644,5365,975,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,554,70,252,164,23,23,7,8,14,2.495,1864,13,1,1325,13943,3694,121,0,4064,6027,1112,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,568,63,254,155,30,23,6.585,8,18,2.978,2062,15,0,1432,15362,4046,132,0,4488,6679,1202,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,395,107,304,234,19,40,7.458,8,15,2.416,2241,17,1,1550,16924,4467,140,0,4873,7343,1328,0,0,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,454,97,266,223,25,37,6.677,8,22,3.273,2443,18,1,1678,18492,4878,161,0,5368,8096,1457,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,438,90,279,233,23,34,7.193,8,15,2.586,2644,18,0,1787,20163,5323,178,0,5845,8903,1632,0,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,540,78,232,190,21,30,6.569,8,16,2.936,2832,18,1,1896,21595,5712,192,0,6300,9608,1704,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,555,68,242,175,23,28,6.549,8,19,3.129,3027,18,1,2011,23055,6085,201,0,6746,10276,1824,0,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,486,79,279,196,37,26,6.317,8,25,3.678,3246,18,0,2131,24670,6528,209,0,7195,10981,1966,0,0,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,541,67,277,155,25,26,6.922,8,20,3.257,3440,18,0,2260,26082,6888,220,0,7632,11659,2058,0,0,2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,479,74,297,190,28,30,7.155,8,14,2.473,3650,20,3,2396,27671,7301,236,0,8068,12394,2202,0,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,485,92,270,193,25,30,6.618,8,18,2.929,3818,20,0,2515,29102,7690,243,0,8464,13078,2293,0,0,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,446,88,287,219,26,38,6.703,8,21,3.121,4021,21,0,2639,30658,8089,250,0,8893,13772,2410,0,0,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,565,58,254,163,32,22,6.574,8,18,3.045,4219,23,0,2756,32169,8473,262,0,9360,14531,2512,0,0,3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,450,87,313,190,26,36,6.887,8,19,2.924,4412,25,1,2892,33631,8856,274,0,9786,15123,2644,0,0,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,600,70,213,157,19,32,6.529,8,15,2.936,4607,26,0,3022,35067,9223,280,0,10220,15864,2745,0,0,3747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
