t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,456,80,332,172,39,38,5.779,8,19,2.844,168,4,0,128,1097,362,12,0,177,261,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,379,114,319,228,26,53,5.924,8,19,2.792,271,5,0,243,1757,591,31,0,383,520,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,372,123,250,295,19,58,5.416,8,22,2.917,386,6,0,367,2400,819,57,0,636,779,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,415,112,250,263,24,57,5.198,8,16,2.354,517,7,1,481,3055,1085,71,0,902,1054,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,472,107,235,226,23,59,5,8,23,2.567,637,8,0,588,3678,1336,84,0,1163,1345,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,497,119,200,224,19,56,5.04,8,17,2.085,756,8,0,714,4292,1589,105,0,1411,1599,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,532,91,190,227,21,51,4.972,7,9,1.136,891,8,0,845,4974,1860,129,0,1713,1852,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,444,117,195,284,17,63,4.912,5,12,1.7,1009,9,0,974,5601,2147,154,0,1926,2055,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,494,100,240,206,23,56,4.962,5,9,1.449,1148,12,0,1092,6224,2411,169,0,2190,2293,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,480,105,207,248,22,55,4.909,5,13,1.914,1268,12,0,1228,6856,2676,182,0,2434,2525,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,458,124,205,253,18,64,4.878,5,13,2.091,1378,13,0,1351,7421,2918,197,0,2659,2720,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,496,104,212,228,29,52,4.802,5,12,2.127,1519,14,0,1468,8073,3191,215,0,2927,2981,1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,477,108,229,226,23,59,4.902,5,14,1.748,1651,14,0,1591,8747,3470,239,0,3195,3224,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,536,97,179,228,22,52,4.811,7,12,1.686,1772,15,1,1713,9353,3725,263,0,3446,3493,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,423,122,216,279,20,65,4.976,7,14,1.734,1892,16,1,1836,9969,3998,284,0,3643,3676,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,449,132,180,279,11,68,4.987,7,12,1.901,2005,16,0,1955,10528,4231,310,0,3876,3910,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,449,116,204,271,18,65,4.843,5,19,2.025,2119,16,0,2084,11089,4454,332,0,4125,4110,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,456,118,194,272,19,64,4.819,5,17,2.204,2247,17,1,2226,11731,4721,349,0,4390,4342,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,482,109,202,247,24,58,4.695,5,19,2.56,2375,18,1,2350,12340,4986,368,0,4649,4560,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,497,106,214,223,18,62,4.838,5,16,2.408,2495,18,1,2460,12890,5214,385,0,4882,4766,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,458,120,213,249,21,60,4.84,5,15,2.233,2606,18,2,2592,13488,5455,406,0,5104,4982,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,493,111,188,247,19,59,4.641,5,20,2.676,2719,18,2,2724,14040,5679,417,0,5349,5169,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,441,123,193,283,21,63,4.798,5,14,1.855,2854,18,0,2845,14697,5954,437,0,5607,5371,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,476,106,225,233,26,57,4.867,5,15,2.49,3011,18,0,2964,15397,6252,462,0,5906,5641,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,460,113,218,249,27,60,4.805,7,18,2.589,3123,18,0,3086,15939,6472,489,0,6130,5842,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
