t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,273,204,72,491,13,64,5.117,8,26,3.545,214,8,51,722,1573,464,19,0,398,258,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,221,217,80,522,10,68,5.333,8,26,3.156,366,8,48,1176,2385,704,37,0,764,491,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,331,183,78,448,4,70,5.324,8,19,2.674,570,9,55,1744,3349,983,53,0,1280,842,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,352,184,64,440,8,68,5.039,8,15,2.212,726,10,54,2182,4150,1255,61,0,1670,1096,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,377,154,77,432,10,71,4.778,8,25,2.665,872,10,51,2588,4866,1512,86,0,2029,1320,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,398,155,80,407,10,67,4.922,8,21,2.363,1041,10,48,2988,5677,1821,99,0,2437,1539,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,393,150,89,408,14,70,4.619,8,30,3.441,1212,12,45,3417,6495,2125,128,0,2831,1795,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,401,161,77,400,8,71,4.722,6,19,2.388,1383,13,53,3848,7339,2432,144,0,3242,2037,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,405,163,85,387,8,74,4.671,5,20,2.606,1506,15,51,4152,7929,2657,168,0,3537,2213,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,419,149,95,376,11,69,4.5,5,22,3.076,1641,15,47,4511,8588,2900,187,0,3875,2393,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,384,168,84,404,6,73,4.823,5,15,2.181,1779,15,52,4878,9298,3173,205,0,4208,2576,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,412,153,87,388,6,71,4.792,5,18,2.513,1930,15,52,5256,9966,3429,221,0,4557,2775,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,388,160,94,398,11,75,4.663,5,21,2.68,2078,17,52,5637,10670,3687,245,0,4904,2965,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,398,165,83,394,4,75,4.848,6,15,2.244,2184,18,51,5956,11231,3894,265,0,5198,3130,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,393,164,82,401,4,76,4.862,5,13,2.046,2310,18,49,6275,11837,4128,286,0,5498,3312,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,432,143,89,376,13,66,4.646,6,20,2.763,2450,20,48,6627,12469,4372,303,0,5832,3505,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,403,151,86,400,10,71,4.691,6,20,2.717,2596,20,53,7004,13192,4642,324,0,6173,3698,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,413,160,83,384,6,73,4.848,5,15,2.287,2745,20,51,7370,13913,4924,340,0,6524,3911,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,380,176,80,404,6,74,4.763,5,19,2.668,2872,22,55,7738,14581,5184,367,0,6841,4099,2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,385,153,94,408,10,72,4.878,5,15,2.299,3024,23,48,8098,15299,5466,383,0,7186,4308,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,410,153,80,397,9,72,4.654,5,19,2.557,3172,24,49,8478,15984,5716,405,0,7538,4532,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,388,169,80,403,4,76,4.875,5,16,2.188,3329,24,53,8856,16729,6001,425,0,7892,4745,3279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,396,160,65,419,7,74,4.716,5,21,2.192,3459,26,54,9211,17356,6245,453,0,8225,4923,3397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,423,156,67,394,3,69,4.847,5,14,1.749,3606,26,52,9587,18113,6540,472,0,8608,5126,3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,419,158,81,382,8,67,4.653,5,21,2.507,3750,26,56,9952,18852,6818,490,0,8970,5323,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
