t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,227,196,67,550,18,56,5.973,8,26,3.63,245,7,37,880,1912,519,10,0,464,360,446,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,178,209,80,573,16,56,6.292,8,27,3.564,478,7,47,1577,3318,930,28,0,1047,757,745,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,170,230,58,582,8,56,7.172,8,18,2.736,640,9,46,2134,4403,1209,35,0,1518,1090,991,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,152,218,73,596,3,59,7.548,8,17,2.629,814,10,32,2730,5570,1513,43,0,2013,1455,1251,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,111,250,56,623,7,59,7.273,11,16,2.466,969,11,53,3279,6660,1807,53,0,2468,1776,1493,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,140,238,57,605,6,58,7.328,12,20,2.74,1111,12,48,3749,7549,2042,62,0,2888,2052,1686,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,144,238,62,596,8,55,7.175,11,19,2.795,1277,12,48,4364,8690,2324,72,0,3384,2431,1921,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,141,229,87,583,14,56,6.657,8,23,3.216,1516,13,48,5088,10099,2686,83,0,4003,2870,2235,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,129,229,64,618,6,66,7.25,8,21,2.861,1727,13,48,5769,11395,3033,97,0,4565,3288,2532,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,176,218,72,574,10,57,6.657,8,24,3.473,1874,14,42,6358,12473,3308,108,0,5034,3636,2744,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,164,233,66,577,12,54,6.833,8,18,2.819,2093,14,45,7079,13862,3655,126,0,5631,4069,3053,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,149,235,40,616,7,61,7.191,8,16,2.543,2293,16,39,7746,15128,3994,138,0,6163,4457,3348,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,121,229,65,625,10,64,6.865,8,23,3.132,2418,18,44,8208,16004,4252,150,0,6525,4709,3520,0,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,163,232,58,587,10,57,6.806,8,23,3.173,2590,19,50,8839,17172,4548,164,0,7027,5123,3738,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,166,223,56,595,9,62,6.761,8,25,3.213,2753,19,44,9421,18279,4842,183,0,7519,5472,3985,0,0,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,154,229,56,601,7,61,7.015,8,20,2.822,2960,19,45,10086,19610,5191,201,0,8074,5884,4289,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,186,219,63,572,5,58,7.111,8,21,2.986,3149,19,42,10694,20791,5515,206,0,8599,6249,4543,0,0,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,105,218,66,651,12,64,6.803,8,21,2.935,3308,19,44,11289,21933,5821,220,0,9074,6602,4817,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,174,222,74,570,6,58,6.938,8,18,2.666,3483,20,45,11903,23154,6153,238,0,9631,7019,5071,0,0,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,183,217,87,553,12,62,6.392,8,30,3.736,3728,21,40,12674,24694,6554,250,0,10297,7503,5391,0,0,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,162,218,62,598,5,59,7,8,16,2.608,3950,22,45,13481,26170,6920,260,0,10915,7987,5694,0,0,2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,134,235,74,597,7,59,7.273,8,17,2.644,4139,22,43,14128,27412,7245,280,0,11447,8384,5955,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,119,231,54,636,11,62,6.973,8,18,2.633,4291,22,50,14726,28505,7547,290,0,11920,8700,6164,0,0,2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,154,216,72,598,8,62,6.9,8,21,2.957,4445,22,37,15309,29610,7831,302,0,12429,9048,6397,0,0,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,113,253,52,622,6,64,7.229,8,17,2.551,4621,23,51,15953,30790,8157,315,0,12916,9412,6625,0,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
