t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,619,55,225,141,21,24,6.933,8,14,2.601,110,4,0,124,949,240,10,0,180,242,99,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,534,74,272,160,19,32,7.118,8,17,2.919,295,5,0,251,2367,611,23,0,567,854,210,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,586,70,214,170,23,29,6.462,8,14,2.846,475,5,2,372,3765,973,41,0,981,1535,303,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,535,87,230,188,17,27,7.25,8,12,2.299,662,7,0,485,5157,1325,54,0,1416,2105,433,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,583,66,244,147,19,26,7.178,8,12,2.425,856,7,1,614,6594,1704,66,0,1858,2783,504,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,578,69,236,157,19,26,6.778,8,15,2.719,1039,9,0,749,7965,2056,78,0,2264,3415,620,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,613,57,202,168,21,24,6.911,8,18,3.005,1200,10,0,882,9178,2359,86,0,2640,3963,719,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,616,69,199,156,13,26,7.231,8,14,2.827,1400,12,1,1011,10668,2748,94,0,3079,4647,834,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,590,77,204,169,21,27,6.417,8,18,3.113,1589,12,1,1141,12098,3114,105,0,3500,5285,932,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,479,90,292,179,24,32,6.929,8,13,2.373,1744,13,1,1259,13438,3457,110,0,3852,5837,1005,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,519,74,253,194,24,28,7.019,8,19,2.918,1934,14,0,1371,14897,3854,121,0,4280,6529,1112,0,0,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,638,59,188,155,20,20,6.725,8,13,2.788,2127,15,2,1494,16237,4197,129,0,4707,7207,1217,0,0,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,596,54,253,137,28,23,6.765,8,19,3.211,2302,16,2,1600,17594,4535,140,0,5100,7832,1286,0,0,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,609,70,211,150,19,25,6.886,8,14,2.703,2477,16,2,1728,18981,4876,149,0,5509,8492,1401,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,501,71,293,175,30,28,6.759,8,16,2.783,2668,18,0,1858,20437,5249,159,0,5909,9091,1518,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,373,104,315,248,29,35,7.047,8,17,2.642,2842,19,0,1989,21961,5674,171,0,6292,9768,1685,0,0,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,437,99,271,233,21,37,6.776,8,20,3.066,3052,20,0,2112,23535,6092,184,0,6758,10544,1825,0,0,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,632,63,223,122,20,22,6.548,8,19,3.367,3255,20,1,2241,24900,6465,198,0,7228,11237,1893,0,0,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,533,64,292,151,24,27,7.353,8,14,2.597,3438,21,1,2343,26277,6813,205,0,7602,11835,2008,0,0,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,517,74,278,171,29,30,6.288,8,22,3.629,3634,23,0,2457,27796,7215,217,0,8032,12543,2120,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,540,75,259,166,20,33,6.491,8,25,3.728,3827,23,1,2583,29273,7599,228,0,8465,13240,2222,0,0,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,464,92,256,228,20,36,7.071,8,16,2.573,4004,23,2,2711,30748,7978,238,0,8868,13900,2368,0,0,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,432,93,282,233,28,38,6.5,8,21,3.19,4202,25,1,2838,32289,8372,255,0,9324,14576,2478,0,0,3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,463,96,276,205,19,32,7.51,8,15,2.576,4400,25,1,2959,33894,8794,265,0,9803,15345,2590,0,0,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,529,89,215,207,16,30,6.848,8,15,2.843,4573,26,0,3082,35376,9178,275,0,10272,16049,2714,0,0,3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
