t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,612,61,251,116,16,27,7.349,8,11,2.176,112,4,0,100,934,230,5,0,162,283,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,380,97,373,190,24,41,7.585,8,15,2.886,231,5,0,209,1812,458,15,0,368,601,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,291,130,362,257,13,55,7.706,8,20,3.071,333,6,0,349,2630,662,30,0,614,952,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,212,142,405,281,23,48,7.831,9,18,3.109,464,7,1,475,3532,905,57,0,914,1360,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,218,134,423,265,24,52,7.697,8,27,3.714,578,8,0,587,4322,1116,69,0,1164,1763,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,180,153,403,304,13,61,7.73,8,19,3.169,715,9,0,727,5328,1377,85,0,1462,2263,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,221,164,336,319,7,57,7.891,8,19,2.948,815,10,0,848,6089,1583,101,0,1717,2669,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,205,162,357,316,17,53,7.529,12,23,3.089,938,10,2,973,6929,1814,121,0,2017,3048,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,235,127,409,269,26,51,7.403,12,28,3.464,1069,11,0,1102,7759,2046,132,0,2302,3474,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,274,126,387,253,26,50,7.145,12,28,3.898,1219,11,0,1239,8750,2291,145,0,2613,4009,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,252,117,411,260,28,43,7.746,12,17,3.103,1359,12,0,1356,9751,2546,159,0,2921,4495,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,197,139,414,290,27,48,7.787,12,24,3.72,1467,13,1,1480,10608,2776,174,0,3158,4935,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,242,128,390,280,24,49,7.356,12,28,3.877,1589,13,0,1604,11463,3009,181,0,3436,5400,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,223,141,378,298,19,54,7.603,12,29,4.062,1719,13,1,1735,12329,3245,200,0,3742,5796,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,274,116,412,238,25,51,7.382,12,36,4.542,1883,13,2,1868,13320,3503,211,0,4083,6290,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,351,102,407,180,22,49,7.493,8,32,4.372,2020,14,0,2003,14168,3705,223,0,4397,6719,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,347,117,378,198,21,43,7.516,8,27,4.331,2141,15,0,2127,15072,3919,243,0,4693,7171,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,263,128,384,265,23,50,7.521,8,29,4.367,2274,17,0,2277,16070,4180,263,0,4982,7642,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,254,124,400,262,23,49,7.625,8,29,4.156,2426,18,1,2415,17085,4448,278,0,5310,8135,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,204,140,409,287,17,57,7.649,8,27,4.139,2540,18,0,2536,17941,4683,294,0,5576,8532,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,156,157,367,360,21,56,7.338,8,37,4.515,2658,18,1,2679,18880,4941,311,0,5870,8976,2421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,241,129,405,265,26,50,7.355,8,35,4.558,2793,18,0,2784,19795,5193,314,0,6183,9477,2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,257,136,379,268,18,51,7.174,8,32,4.474,2892,18,1,2914,20575,5398,328,0,6438,9869,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,235,121,430,254,24,48,7.667,8,24,4.064,3014,18,0,3022,21413,5616,340,0,6699,10277,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,286,123,385,246,22,49,7.676,8,29,4.236,3144,18,0,3153,22307,5844,351,0,6980,10765,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
