t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,151,231,77,581,4,51,7.291,8,17,2.832,111,5,48,549,1222,326,9,0,155,131,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,133,218,88,601,9,60,6.855,12,25,3.514,252,6,45,985,2036,546,18,0,505,412,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,56,249,62,673,2,63,7.908,12,18,2.971,430,7,51,1593,3168,813,27,0,970,771,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,86,249,63,642,5,58,7.365,12,24,3.412,566,8,52,2068,4070,1038,37,0,1366,1133,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,95,238,71,636,8,55,7.206,12,24,3.424,700,10,50,2526,4914,1226,45,0,1748,1446,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,86,230,66,658,4,61,7.323,11,29,3.844,820,10,52,2959,5727,1421,51,0,2109,1725,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,126,224,82,608,4,60,7.172,16,29,3.885,997,11,44,3506,6825,1695,58,0,2606,2107,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,156,209,78,597,9,58,6.925,8,24,3.456,1174,12,46,4113,7945,1956,62,0,3120,2513,1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,96,225,82,637,6,60,7.136,8,28,3.744,1329,12,48,4626,8966,2214,67,0,3556,2846,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,145,201,74,620,8,60,7.147,8,27,3.852,1557,13,35,5329,10277,2510,80,0,4128,3350,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,87,238,71,644,9,59,7.162,8,31,4.066,1720,13,48,5875,11340,2762,88,0,4570,3700,2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,94,229,76,641,6,61,7.179,9,25,3.674,1866,13,45,6350,12205,2972,92,0,4965,3996,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,94,243,80,623,9,58,6.925,10,27,3.938,1998,15,52,6798,13048,3197,97,0,5329,4307,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,101,236,70,633,3,55,7.672,8,20,3.361,2176,16,46,7389,14106,3423,103,0,5797,4691,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,99,226,81,634,4,59,7.587,8,23,3.405,2316,18,53,7866,14943,3632,105,0,6174,4995,3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,60,246,73,661,3,66,7.42,9,26,3.691,2470,18,51,8390,15920,3853,113,0,6590,5336,3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,82,220,72,666,8,66,7.27,11,28,3.944,2642,19,42,8969,16906,4103,120,0,7021,5723,3696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,91,231,76,642,7,65,7.056,8,35,4.264,2793,20,46,9485,17848,4331,124,0,7433,6076,3883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,58,245,77,660,4,63,7.478,8,28,4.107,2924,20,50,9999,18756,4541,132,0,7820,6385,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,94,229,82,635,5,61,7.455,8,28,4.224,3111,21,56,10609,19893,4816,139,0,8350,6787,4279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,78,236,75,651,13,59,6.792,8,31,4.424,3245,23,45,11108,20753,5018,145,0,8730,7102,4451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,120,201,92,626,8,60,6.853,10,36,4.734,3394,24,36,11687,21730,5248,149,0,9184,7470,4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,84,225,80,651,6,68,6.905,10,39,4.732,3586,27,44,12332,22940,5523,157,0,9702,7885,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,115,222,94,609,9,66,6.747,10,42,4.86,3767,27,35,12890,23947,5761,164,0,10169,8248,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,100,231,66,642,7,62,7.275,10,26,4.059,3966,27,47,13593,25226,6048,173,0,10741,8675,5334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
