t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,154,233,54,599,7,58,7.123,9,17,2.637,171,7,48,648,1551,411,12,0,286,237,422,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,164,232,68,576,9,56,6.846,9,19,2.849,363,8,49,1280,2789,754,20,0,827,622,682,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,99,242,60,639,4,64,7.412,8,18,2.663,520,10,45,1855,3863,1043,32,0,1269,943,924,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,146,230,67,597,9,64,6.959,8,23,3.175,712,10,43,2521,5117,1379,39,0,1829,1370,1186,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,104,230,69,637,12,64,6.697,8,25,3.167,941,12,46,3289,6599,1761,54,0,2442,1817,1502,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,137,223,74,606,5,59,7.359,8,16,2.55,1134,14,36,4010,7940,2098,64,0,3021,2257,1756,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,125,237,64,614,4,60,7.047,9,22,3.114,1329,15,40,4706,9239,2443,72,0,3567,2673,1987,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,181,217,58,584,10,58,6.912,8,20,2.909,1545,15,45,5447,10594,2784,82,0,4170,3121,2260,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,155,218,72,595,5,63,6.824,14,22,3.171,1747,17,44,6163,11955,3152,99,0,4730,3543,2546,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,196,202,67,575,13,58,6.38,8,21,3.157,1968,18,38,6845,13263,3488,110,0,5318,3969,2833,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,117,238,52,633,5,62,7.313,8,18,2.509,2132,18,50,7424,14458,3825,119,0,5796,4308,3126,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,133,232,67,608,7,62,7,10,22,3.006,2321,18,52,8026,15692,4145,129,0,6331,4696,3410,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,130,234,78,598,9,59,6.706,8,22,2.968,2501,20,41,8690,16983,4484,141,0,6884,5117,3691,0,0,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,176,227,81,556,4,55,7.186,8,19,2.88,2684,21,46,9313,18168,4792,152,0,7428,5479,3911,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,145,219,65,611,8,64,6.944,8,22,2.877,2864,22,49,9965,19393,5113,165,0,7958,5858,4196,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,143,232,58,607,8,57,7.154,13,14,2.519,3021,22,48,10535,20485,5408,169,0,8433,6182,4425,0,0,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,174,208,76,582,17,57,6.446,8,21,3.057,3205,24,37,11157,21668,5710,182,0,8948,6582,4680,0,0,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,161,229,63,587,8,63,6.93,8,21,3.017,3368,24,41,11764,22797,6004,189,0,9423,6948,4905,0,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,125,251,50,614,6,60,7.348,8,15,2.248,3535,25,57,12357,23982,6321,206,0,9906,7316,5172,0,0,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,145,232,54,609,7,62,6.942,8,17,2.774,3695,25,45,12910,25080,6626,217,0,10407,7642,5418,0,0,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,122,239,61,618,5,56,7.475,8,14,2.212,3863,25,47,13528,26282,6958,230,0,10902,8011,5662,0,0,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,139,227,70,604,4,59,7.206,8,19,2.716,4033,25,37,14147,27392,7246,243,0,11395,8383,5861,0,0,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,165,219,53,603,11,58,6.783,8,19,2.928,4210,26,52,14749,28493,7547,253,0,11880,8732,6088,0,0,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,127,235,61,617,11,63,6.892,8,16,2.567,4385,27,48,15345,29680,7856,262,0,12369,9109,6360,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,151,224,70,595,13,56,6.797,8,19,2.859,4536,27,51,15902,30671,8133,282,0,12829,9414,6509,0,0,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
