t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,133,260,86,561,8,96,4.51,8,37,4.664,245,10,41,806,1783,494,16,0,423,192,363,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,147,253,88,552,4,88,5.196,8,32,4.146,431,11,42,1451,2908,759,30,0,938,440,527,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,123,271,95,551,2,94,4.958,8,41,4.648,611,15,45,2089,4000,1015,47,0,1422,700,677,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,115,286,86,553,4,91,4.874,8,35,4.506,747,17,49,2670,4957,1217,56,0,1873,902,788,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,161,257,94,528,5,100,4.333,8,34,4.549,958,18,41,3361,6106,1439,71,0,2428,1157,935,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,191,261,93,495,1,98,4.364,8,40,4.722,1186,21,42,4086,7411,1703,90,0,3035,1459,1137,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,106,276,93,565,6,107,4.46,8,38,4.583,1437,21,46,4924,8886,2006,114,0,3688,1770,1333,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,103,270,97,570,4,97,4.792,8,39,4.635,1580,22,52,5504,9872,2222,132,0,4111,2038,1472,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,148,262,89,541,3,91,4.809,8,38,4.616,1729,22,43,6074,10841,2448,152,0,4578,2286,1602,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,115,274,99,552,4,98,4.549,8,36,4.521,1919,22,43,6746,11993,2687,168,0,5088,2552,1752,0,0,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,179,246,100,515,6,90,4.75,8,37,4.571,2103,26,39,7402,13119,2929,176,0,5589,2827,1917,0,0,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,105,282,78,575,4,95,4.98,8,40,4.667,2274,27,50,8039,14247,3182,186,0,6063,3078,2093,0,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,110,292,73,565,2,96,4.929,8,31,4.168,2462,29,53,8708,15377,3429,205,0,6590,3348,2243,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,154,262,83,541,6,78,5.083,8,31,4.208,2597,29,47,9233,16283,3639,221,0,7004,3574,2359,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,72,289,69,610,4,93,5.34,10,34,4.313,2722,29,49,9728,17221,3866,230,0,7381,3770,2521,0,0,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,137,258,96,549,9,92,4.851,8,39,4.635,2885,29,44,10338,18240,4067,242,0,7879,4035,2653,0,0,2373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,93,277,92,578,6,94,4.9,8,43,4.753,3054,29,43,11008,19410,4326,255,0,8370,4312,2815,0,0,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,130,259,107,544,3,98,4.772,8,39,4.669,3288,29,35,11793,20793,4624,271,0,8985,4684,2997,0,0,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,99,292,84,565,3,99,4.863,8,34,4.415,3449,30,50,12370,21802,4851,283,0,9424,4908,3169,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,82,289,79,590,5,90,5.253,8,37,4.488,3607,32,51,12960,22779,5057,295,0,9867,5098,3298,0,0,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,148,270,71,551,3,84,5.414,8,36,4.306,3756,33,48,13542,23745,5280,309,0,10319,5304,3416,0,0,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,135,264,88,553,4,91,4.853,8,38,4.7,3912,33,43,14136,24768,5480,323,0,10790,5574,3562,0,0,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,130,272,86,552,3,91,5.074,8,32,4.206,4115,33,45,14801,25976,5728,336,0,11324,5890,3739,0,0,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,101,281,81,577,1,99,5.02,8,35,4.474,4231,33,50,15308,26871,5931,344,0,11724,6085,3884,0,0,3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,160,268,89,523,1,105,4.311,8,36,4.552,4414,33,41,15953,27998,6152,364,0,12260,6377,4021,0,0,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
