t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,823,24,142,51,28,18,3.957,5,19,3.413,127,5,1,100,624,254,38,0,166,134,77,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,788,32,136,84,27,19,4.413,5,15,2.407,262,7,2,230,1254,521,87,0,422,284,169,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,871,33,79,57,9,18,4.63,5,10,2.529,436,9,0,364,2025,860,125,0,744,516,246,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,869,27,85,59,14,17,4.258,5,16,3.284,605,12,0,486,2762,1170,162,0,1032,719,338,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,805,28,137,70,24,20,4.409,5,15,2.669,768,15,1,592,3535,1496,209,0,1305,951,419,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,786,28,151,75,18,22,4.875,5,8,1.272,916,15,0,694,4202,1772,238,0,1556,1128,495,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,903,19,77,41,14,13,3.889,5,14,3.366,1068,16,1,811,4860,2044,288,0,1870,1329,565,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,788,35,127,90,17,23,4.55,5,13,1.957,1193,20,1,914,5515,2325,316,0,2086,1471,659,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,853,28,93,66,22,18,3.775,5,16,3.395,1405,24,2,1039,6401,2716,360,0,2445,1733,760,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,803,35,124,78,20,22,4.214,5,14,3.11,1558,26,1,1151,7125,3036,386,0,2692,1943,851,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,929,19,50,42,7,13,4,5,10,2.658,1679,27,3,1247,7673,3274,411,0,2954,2113,914,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,820,32,115,72,21,22,4.047,5,18,3.245,1822,33,1,1367,8320,3545,449,0,3167,2258,999,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,759,34,170,77,29,25,4.407,5,18,2.799,1998,34,2,1487,9102,3869,512,0,3466,2450,1107,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,770,30,166,74,32,21,4.17,5,23,3.259,2177,35,1,1605,9896,4215,574,0,3790,2689,1196,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,764,38,162,76,24,24,4.417,5,17,3.142,2347,35,0,1722,10682,4555,623,0,4091,2918,1285,0,0,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,840,23,117,60,18,17,4.457,5,15,2.993,2516,36,1,1840,11418,4866,672,0,4404,3161,1362,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,913,24,51,52,7,13,4.4,5,7,1.817,2644,38,2,1959,11963,5088,697,0,4638,3332,1425,0,0,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,908,19,56,57,10,13,4.174,5,11,2.566,2780,40,0,2074,12564,5333,724,0,4872,3489,1515,0,0,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,794,32,133,81,25,19,4.159,5,15,2.603,2957,41,1,2188,13363,5670,761,0,5141,3677,1620,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,880,21,84,55,14,15,4.448,5,10,2.349,3092,42,2,2311,13981,5926,793,0,5414,3870,1688,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,843,27,116,54,19,17,4.306,5,14,2.685,3211,45,1,2408,14523,6158,821,0,5617,3995,1754,0,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,865,27,96,52,12,16,4.679,5,10,2.402,3336,46,3,2507,15123,6411,848,0,5856,4177,1838,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,775,39,146,80,21,24,4.622,6,16,2.673,3480,47,2,2630,15772,6680,890,0,6079,4327,1912,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,807,30,132,71,26,20,4.043,5,20,3.412,3656,48,3,2772,16603,7043,938,0,6416,4580,1999,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,798,42,124,76,18,25,4.372,5,12,2.549,3826,49,1,2893,17399,7378,980,0,6704,4810,2071,0,0,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,808,29,140,63,23,21,4.409,5,10,2.316,3985,51,3,3008,18151,7705,1025,0,6999,5025,2137,0,0,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,853,27,98,62,14,19,4.455,5,14,2.966,4146,52,0,3131,18894,8013,1085,0,7300,5279,2212,0,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,830,30,117,63,18,18,4.556,5,13,2.334,4316,54,1,3244,19662,8341,1130,0,7585,5510,2299,0,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,894,23,70,53,10,16,4.385,5,10,2.293,4464,56,2,3354,20304,8609,1168,0,7866,5713,2366,0,0,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,825,28,127,60,21,19,4.325,5,13,2.597,4632,58,1,3473,21074,8939,1216,0,8146,5911,2473,0,0,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620000,814,29,131,66,18,23,4.463,5,18,3.284,4792,60,1,3596,21796,9251,1266,0,8435,6100,2560,0,0,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000,921,26,47,46,5,15,4.2,5,11,2.795,4908,61,2,3703,22297,9447,1301,0,8674,6273,2632,0,0,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,812,32,121,75,18,21,4.333,5,16,3.034,5065,63,4,3823,23032,9761,1352,0,8937,6452,2722,0,0,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680000,873,21,92,54,21,15,3.917,5,8,2.253,5204,66,0,3937,23612,10003,1389,0,9198,6618,2808,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700000,910,17,59,54,14,11,4.08,5,9,2.443,5340,67,2,4042,24201,10258,1410,0,9447,6762,2901,0,0,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720000,832,24,124,60,21,17,4.368,5,14,2.59,5499,71,2,4161,24916,10551,1447,0,9695,6931,2983,0,0,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740000,905,22,70,43,9,15,4.333,5,9,2.52,5671,72,3,4287,25636,10853,1496,0,10011,7140,3080,0,0,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760000,953,18,32,37,7,9,3.813,5,10,3.024,5777,73,2,4389,26131,11061,1525,0,10214,7303,3134,0,0,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780000,866,25,96,53,18,15,3.939,5,14,3.02,5908,75,2,4506,26703,11298,1565,0,10412,7442,3218,0,0,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800000,932,19,41,48,3,12,4.667,5,6,1.692,6042,78,8,4613,27250,11524,1598,0,10662,7589,3289,0,0,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820000,869,29,86,56,12,20,4.219,5,15,3.311,6201,80,2,4734,27963,11818,1632,0,10921,7765,3368,0,0,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840000,732,46,158,104,25,27,4.423,5,14,2.285,6358,83,1,4864,28749,12158,1691,0,11201,7944,3480,0,0,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860000,881,18,93,48,19,11,4.2,5,18,3.505,6518,85,2,4974,29424,12458,1735,0,11517,8179,3546,0,0,3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880000,863,25,95,57,20,15,4.143,5,16,3.378,6666,87,0,5086,30129,12748,1784,0,11795,8370,3627,0,0,3613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900000,833,30,110,66,17,19,4.444,5,13,2.629,6808,89,3,5209,30776,13006,1821,0,12044,8556,3704,0,0,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920000,873,24,85,58,18,16,3.941,5,16,3.275,6969,91,3,5319,31463,13315,1855,0,12313,8778,3798,0,0,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940000,820,27,123,70,21,17,4.5,5,13,2.696,7125,96,1,5421,32197,13624,1901,0,12567,8990,3878,0,0,3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960000,759,38,157,86,28,25,4.283,5,15,2.662,7338,98,1,5545,33155,14035,1948,0,12910,9268,3977,0,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980000,834,29,112,65,17,19,4.556,5,15,2.658,7477,99,2,5665,33777,14303,1983,0,13179,9443,4051,0,0,4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,837,35,95,73,18,19,4.162,5,10,2.302,7651,100,2,5783,34607,14669,2020,0,13490,9700,4137,0,0,4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
