t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,640,80,79,241,19,49,4.118,5,22,3.396,250,9,35,519,1208,483,41,0,360,197,285,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,595,93,88,264,14,52,4.379,5,22,3.162,656,12,33,1402,3008,1217,143,0,1170,602,638,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,728,65,57,190,16,34,4.02,5,22,3.779,1047,13,47,2272,4664,1871,239,0,1975,1044,918,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,563,105,92,280,19,56,4.173,5,25,3.65,1419,18,34,3102,6385,2575,317,0,2682,1395,1216,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,605,95,89,251,20,43,4.222,5,21,3.239,1807,23,34,4009,8099,3254,415,0,3492,1827,1523,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,538,113,88,301,18,57,4.28,5,31,3.797,2231,25,42,4951,9936,3998,523,0,4299,2256,1844,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,539,113,82,306,17,59,4.263,5,27,3.464,2628,27,39,5864,11678,4705,625,0,5101,2668,2141,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,625,90,78,247,18,49,4.045,5,22,3.529,2997,31,46,6714,13325,5385,734,0,5889,3090,2441,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,604,77,106,253,34,51,3.718,5,31,4.148,3393,32,34,7554,14983,6065,827,0,6633,3466,2718,0,0,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,569,102,82,287,17,56,4.082,5,30,3.935,3801,37,40,8507,16880,6815,929,0,7475,3941,3059,0,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,551,103,80,306,29,54,4.036,5,31,3.923,4234,37,36,9495,18728,7558,1040,0,8313,4413,3370,0,0,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
