t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,2426,363,294,1077,66,199,4.279,6,51,3.762,935,11,160,2050,4751,1931,179,69,1351,736,1045,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,2243,419,343,1155,66,216,4.333,7,64,4.013,2479,14,163,5503,11769,4771,520,226,4429,2378,2315,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,2112,444,388,1215,65,236,4.362,7,66,4.377,4035,17,142,9135,18841,7583,899,399,7586,4092,3483,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,2173,417,365,1204,102,209,4.154,9,64,4.274,5582,20,150,12668,25762,10335,1259,595,10733,5834,4671,0,0,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,2371,380,348,1061,71,200,4.159,8,59,4.31,7167,26,162,16261,32777,13179,1627,793,13961,7591,5815,0,0,3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,2241,416,369,1134,82,212,4.17,7,62,4.255,8727,28,152,19703,39700,15952,1978,980,17000,9218,7065,0,0,4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,2167,398,405,1190,99,223,4.109,6,65,4.527,10263,32,146,23207,46509,18788,2347,1158,20025,10886,8240,0,0,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,2263,386,367,1144,93,213,4.144,7,57,4.232,11794,36,145,26868,53463,21533,2724,1339,23197,12726,9353,0,0,5789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,2233,397,379,1151,96,210,4.19,7,66,4.334,13306,39,143,30357,60278,24282,3125,1500,26274,14408,10518,0,0,6563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,2194,403,402,1161,115,217,3.985,6,60,4.384,14907,41,157,33959,67293,27154,3534,1659,29444,16126,11675,0,0,7361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,2128,443,371,1218,78,229,4.218,5,68,4.349,16475,45,146,37467,74197,29987,3917,1834,32595,17748,12841,0,0,8092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,2200,402,396,1161,95,214,4.049,8,67,4.471,18002,50,158,40929,80902,32664,4270,1983,35676,19422,13972,0,0,8806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
