t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,1174,142,156,368,39,62,3.921,8,36,4.099,574,11,23,1063,2872,878,149,42,1101,562,748,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,1163,152,140,384,31,64,4.063,9,33,3.839,1301,13,22,2418,6225,1793,377,103,2695,1538,1511,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,1158,152,124,406,38,67,3.876,7,29,3.533,1997,17,32,3670,9351,2697,580,159,4187,2399,2229,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,1212,143,115,370,24,64,4.068,8,24,3.269,2722,22,35,4904,12495,3602,818,222,5713,3259,3003,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,1098,156,129,457,36,69,4.086,10,43,4.318,3443,26,21,6203,15780,4550,1058,271,7260,4136,3836,0,0,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,1079,178,171,412,30,68,4.398,11,42,4.419,4165,28,29,7681,19478,5530,1262,342,8970,5259,4594,0,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,994,183,161,502,39,71,4.255,12,43,4.379,4926,34,21,9198,23223,6510,1487,415,10693,6374,5293,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,1048,175,195,422,37,66,4.146,19,40,4.277,5716,41,21,10717,27235,7471,1725,494,12525,7729,6081,0,0,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,1088,184,114,454,18,70,4.375,9,30,3.708,6438,44,32,12185,30756,8368,1978,566,14202,8864,6776,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,1131,160,144,405,22,74,4.323,8,36,3.988,7099,49,30,13398,33698,9211,2201,629,15663,9667,7397,0,0,2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,1072,179,133,456,21,81,4.333,7,31,3.334,7751,49,29,14591,36523,10034,2412,674,17016,10431,8018,0,0,3216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,1174,132,132,402,35,65,4,14,37,4.068,8468,52,28,15872,39805,10927,2611,735,18642,11374,8857,0,0,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,1074,180,117,469,23,66,4.494,9,39,4.139,9174,58,27,17260,43231,11845,2802,798,20205,12291,9621,0,0,3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,1161,156,122,401,24,70,4.16,7,31,3.768,9936,61,26,18653,46706,12779,3007,850,21892,13348,10350,0,0,4117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,1116,145,147,431,44,67,4.018,8,36,3.93,10681,65,26,19998,50031,13708,3232,894,23435,14302,11111,0,0,4427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,1034,176,144,486,36,79,4.287,9,46,4.374,11363,70,22,21281,53271,14625,3417,959,24977,15125,11876,0,0,4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,1022,171,156,491,38,72,4.173,10,46,4.381,12091,75,27,22610,56684,15584,3619,1029,26590,16082,12667,0,0,5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,1145,146,156,393,31,63,4.234,9,32,3.853,12860,79,29,24045,60133,16515,3841,1109,28311,17140,13327,0,0,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,1152,147,126,415,45,66,3.613,6,33,3.904,13567,81,33,25399,63468,17430,4043,1151,29922,18044,14070,0,0,5647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,1143,141,142,414,38,69,3.981,8,27,3.607,14309,83,27,26649,66669,18392,4243,1194,31423,18884,14811,0,0,5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,1062,181,142,454,28,72,4.31,9,39,3.986,14977,87,28,27902,69834,19293,4480,1254,32912,19763,15557,0,0,6231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,1169,145,140,386,31,65,4.042,6,33,4.104,15707,90,32,29203,72978,20215,4677,1307,34475,20681,16254,0,0,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,1172,150,132,386,38,61,3.899,7,37,4.014,16393,94,26,30495,76043,21091,4886,1369,35958,21512,16914,0,0,6803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
