t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,1174,142,156,368,39,62,3.921,8,36,4.099,574,11,23,1063,2872,878,149,42,1101,562,748,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,1163,152,140,384,31,64,4.063,9,33,3.839,1301,13,22,2418,6225,1793,377,103,2695,1538,1511,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,1158,152,124,406,38,67,3.876,7,29,3.533,1997,17,32,3670,9351,2697,580,159,4187,2399,2229,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,1212,143,115,370,24,64,4.068,8,24,3.269,2722,22,35,4904,12495,3602,818,222,5713,3259,3003,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,1098,156,129,457,36,69,4.086,10,43,4.318,3443,26,21,6203,15780,4550,1058,271,7260,4136,3836,0,0,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,1079,178,171,412,30,68,4.398,11,42,4.419,4165,28,29,7681,19478,5530,1262,342,8970,5259,4594,0,0,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,1117,153,157,413,51,67,3.788,9,46,4.473,4971,35,21,9245,23459,6517,1523,410,10815,6567,5370,0,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,1210,133,130,367,37,63,3.75,6,30,3.555,5650,40,32,10469,26424,7385,1725,461,12326,7364,6011,0,0,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,1122,164,128,426,30,65,4.053,6,31,3.778,6316,43,32,11745,29485,8287,1951,515,13760,8167,6699,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,1152,163,114,411,30,61,3.868,7,23,3.07,7001,43,28,12946,32436,9153,2154,557,15233,8906,7375,0,0,2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,1185,137,112,405,33,61,3.947,8,36,4.02,7662,44,23,14138,35393,10011,2356,614,16705,9674,8063,0,0,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,1163,140,135,402,39,64,3.883,8,31,3.635,8374,46,29,15340,38521,10941,2543,652,18213,10451,8817,0,0,3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,1139,154,104,443,29,71,3.93,6,29,3.513,9034,52,27,16640,41611,11809,2738,705,19713,11228,9513,0,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,1117,163,137,423,39,62,4.01,9,37,3.973,9652,55,30,17802,44426,12658,2909,750,21095,11891,10114,0,0,3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,1125,155,148,412,21,75,4.313,7,38,3.97,10340,55,31,19105,47620,13564,3136,809,22649,12780,10824,0,0,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,1105,156,152,427,27,71,4.173,9,47,4.509,11053,57,32,20384,50838,14512,3351,856,24205,13584,11561,0,0,4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,1158,162,116,404,28,65,4.065,6,30,3.369,11732,60,27,21664,53960,15428,3552,910,25762,14438,12252,0,0,4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,1206,142,128,364,28,60,3.966,7,28,3.539,12390,60,31,22877,56913,16302,3750,964,27241,15183,12930,0,0,5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,1133,154,152,401,35,71,3.991,7,42,4.208,13135,63,24,24188,60270,17237,3954,1025,28805,16106,13734,0,0,5341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,1187,135,139,379,34,64,3.918,8,39,4.214,13845,65,23,25482,63488,18183,4144,1072,30344,16992,14506,0,0,5654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,1171,144,128,397,29,62,4.055,6,29,3.707,14567,68,27,26753,66709,19116,4346,1132,31891,17826,15227,0,0,5921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,1110,157,117,456,37,62,3.949,9,32,3.696,15223,72,23,27945,69774,20050,4539,1182,33346,18594,15991,0,0,6208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,1114,156,152,418,42,66,3.87,8,42,4.373,15990,76,26,29327,73327,20977,4750,1262,35019,19597,16799,0,0,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
