t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,344,139,99,458,18,53,5.873,8,43,4.931,296,7,22,927,1955,553,50,27,548,436,372,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,152,203,105,580,17,58,6.533,12,40,4.546,625,11,37,2011,3954,1138,108,99,1302,1011,705,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,175,192,104,569,11,59,6.586,10,35,4.214,937,11,34,3013,5804,1677,163,155,2099,1685,1017,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,119,231,102,588,13,64,6.416,8,41,4.769,1205,11,47,3944,7459,2197,214,215,2785,2210,1256,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,135,209,89,606,8,64,6.972,9,37,4.293,1480,13,41,4877,9100,2698,267,271,3482,2781,1532,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,145,220,78,596,12,55,6.821,8,24,3.461,1727,14,43,5746,10714,3189,313,307,4165,3329,1810,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,145,210,96,589,16,58,6.351,13,35,4.051,2003,14,45,6639,12324,3679,361,363,4849,3897,2067,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,82,223,95,640,6,60,7.303,13,30,3.789,2237,14,35,7475,13805,4124,410,412,5453,4393,2301,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,123,223,90,604,17,60,6.74,13,46,4.665,2468,14,38,8319,15323,4568,454,453,6093,4968,2542,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,152,203,90,595,15,59,6.635,9,37,4.231,2804,14,33,9456,17377,5127,521,517,6993,5695,2897,0,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,134,214,93,599,5,63,7.206,11,33,3.935,3106,14,44,10467,19275,5638,590,582,7805,6351,3241,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,174,210,81,575,16,63,6.291,9,36,4.204,3351,16,42,11313,20788,6114,623,644,8437,6920,3522,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,152,190,99,599,16,61,6.688,8,35,3.897,3641,16,40,12277,22575,6632,673,693,9193,7554,3854,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,120,208,94,618,9,64,7.164,13,28,3.675,3889,17,45,13176,24207,7118,713,756,9850,8120,4126,0,0,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,92,221,77,650,5,64,7.348,14,25,3.417,4130,17,38,14022,25724,7611,775,809,10501,8604,4384,0,0,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
