t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,756,51,142,91,8,24,6.031,8,16,3.632,106,3,3,107,821,230,10,0,172,253,43,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,655,62,202,121,16,29,5.978,8,23,3.92,309,5,0,227,1948,549,21,0,514,679,117,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,623,76,202,139,15,36,5.588,8,22,3.946,493,6,1,358,3194,876,45,0,876,1215,194,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,554,84,235,167,19,42,5.656,8,23,3.597,700,7,1,501,4479,1239,64,0,1281,1695,288,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,531,84,273,152,24,45,5.551,8,26,4.024,906,8,0,626,5869,1615,79,0,1687,2296,349,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,627,76,209,128,17,39,5.232,8,21,3.642,1082,8,1,762,6963,1930,96,0,2084,2769,407,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,608,82,205,145,21,40,5.148,8,27,4.229,1292,9,0,906,8193,2280,118,0,2484,3249,464,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,592,83,208,157,18,46,4.734,8,29,4.192,1461,10,2,1032,9343,2596,146,0,2835,3736,522,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,546,89,240,165,19,47,5.197,8,24,4.026,1643,11,0,1158,10557,2934,163,0,3197,4232,576,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,590,87,201,162,13,44,5.649,8,28,4.232,1855,12,0,1305,11826,3300,186,0,3630,4742,657,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,628,73,202,137,15,38,5.208,8,24,4.082,2080,15,0,1436,13110,3662,209,0,4072,5267,727,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,638,70,209,123,16,41,4.842,8,24,4.033,2267,15,1,1573,14243,3981,233,0,4471,5682,774,0,0,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,679,62,177,122,21,37,4.448,8,22,4.103,2465,15,1,1690,15386,4297,249,0,4835,6173,833,0,0,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,584,84,214,158,12,43,5.745,8,20,3.565,2698,16,0,1827,16741,4691,265,0,5257,6687,927,0,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,655,67,198,120,20,33,5.057,8,17,3.367,2923,16,0,1936,17985,5077,289,0,5701,7221,988,0,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,597,76,228,139,37,42,3.848,8,19,3.32,3135,17,0,2082,19062,5451,309,0,6024,7591,1032,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,651,57,222,110,40,39,3.861,8,19,3.137,3384,17,0,2192,20266,5865,326,0,6440,8059,1087,0,0,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,630,72,209,129,30,41,4.014,8,20,2.978,3581,18,0,2307,21294,6221,340,0,6765,8423,1150,0,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,616,79,194,151,21,41,4.097,8,13,2.657,3752,19,1,2418,22367,6588,362,0,7094,8818,1222,0,0,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,592,75,238,135,42,50,3.565,8,25,2.992,3970,19,0,2541,23682,7002,376,0,7510,9361,1287,0,0,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,716,63,153,108,37,42,2.823,8,13,1.731,4197,19,0,2666,24538,7392,396,0,7844,9664,1316,0,0,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,720,57,163,100,46,38,2.607,8,13,1.482,4338,20,0,2778,25187,7694,407,0,8050,9861,1348,0,0,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,789,47,104,100,39,43,2.305,8,11,1.212,4507,21,0,2914,25759,8011,420,0,8263,10049,1373,0,0,2804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,832,34,92,82,53,34,2,2,3,0.306,4677,22,1,3034,26213,8357,436,0,8436,10111,1377,0,0,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,827,35,97,81,54,35,2,2,3,0.244,4844,23,0,3163,26578,8707,443,0,8554,10114,1377,0,0,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
