t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,525,86,269,160,14,36,6.86,8,17,2.962,109,5,0,138,895,228,12,0,151,202,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,220,169,363,288,11,66,7,8,29,3.431,193,5,0,272,1595,433,25,0,297,407,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,229,169,347,295,13,70,6.229,8,38,4.472,283,6,0,392,2199,608,37,0,558,688,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,207,185,338,310,13,77,6.089,8,47,4.957,391,7,0,521,2865,799,56,0,825,979,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,241,163,372,264,13,64,6.325,8,40,4.574,502,8,0,660,3578,983,73,0,1125,1316,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,158,205,314,363,7,67,6.446,8,37,4.475,566,9,0,805,4135,1149,90,0,1339,1521,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,159,193,352,336,10,75,5.859,8,49,5.266,659,9,0,932,4781,1306,113,0,1592,1858,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,163,211,339,327,3,79,5.829,10,49,5.243,761,9,0,1058,5424,1501,125,0,1882,2116,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,131,250,267,392,3,78,5.864,10,56,5.449,831,9,0,1194,5886,1636,144,0,2099,2285,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,168,228,289,355,4,80,5.619,9,50,5.117,921,10,0,1306,6413,1798,166,0,2377,2506,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,273,170,352,245,18,72,5.722,9,51,5.054,1094,11,0,1424,7214,2011,198,0,2746,2921,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,232,180,356,272,8,79,6.161,9,48,4.998,1201,11,0,1553,7895,2191,223,0,2986,3243,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,246,194,294,306,5,74,5.823,8,44,5.11,1292,11,0,1720,8587,2372,236,0,3293,3544,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,216,203,326,295,8,76,5.81,8,53,5.359,1408,11,1,1854,9233,2559,263,0,3573,3797,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,267,173,313,287,11,74,5.729,9,49,5.203,1522,11,0,1982,9871,2739,286,0,3871,4098,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,198,189,364,289,9,78,6.207,8,47,5.002,1660,12,1,2128,10634,2958,308,0,4164,4393,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,215,192,349,284,13,82,5.663,8,55,5.338,1739,12,0,2245,11121,3103,338,0,4398,4628,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,179,202,348,311,18,75,6.011,8,51,5.11,1831,14,0,2358,11683,3263,366,0,4639,4851,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,213,201,319,307,10,79,5.888,8,52,5.18,1931,14,0,2498,12275,3427,387,0,4912,5135,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,231,202,307,300,7,76,5.867,8,56,5.438,2039,14,0,2617,12882,3609,406,0,5169,5401,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,192,179,377,292,18,74,5.674,8,59,5.503,2151,15,0,2750,13590,3786,425,0,5436,5717,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,220,185,335,300,11,74,6.129,8,52,5.276,2246,15,0,2870,14198,3956,446,0,5678,6017,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,241,172,349,278,14,76,5.644,8,51,5.384,2379,16,0,2976,14890,4149,471,0,5961,6349,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,271,152,368,249,23,67,5.667,9,49,5.224,2556,17,1,3119,15850,4393,487,0,6345,6803,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,280,153,344,263,20,73,5.441,12,57,5.414,2691,17,1,3245,16616,4622,508,0,6662,7150,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
