t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,47,279,1,713,3,78,5.617,8,39,4.489,178,9,48,847,1399,426,13,0,236,91,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,40,312,1,687,3,77,5.162,8,49,5.252,223,10,49,1162,1801,539,15,0,461,208,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,56,310,11,663,3,86,4.978,8,58,5.534,318,10,51,1591,2364,681,18,0,775,378,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,57,290,9,684,4,92,4.854,9,59,5.643,518,14,36,2432,3445,920,29,0,1315,735,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,58,275,16,691,7,86,5.086,9,63,5.687,700,15,41,3163,4396,1144,42,0,1803,1023,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,48,313,4,675,1,87,4.886,9,61,5.689,816,16,51,3711,5088,1314,46,0,2154,1243,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,45,296,5,694,2,91,4.978,11,68,5.86,934,19,48,4272,5741,1473,51,0,2460,1475,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,41,303,10,686,6,81,5.08,11,66,5.888,1017,22,47,4710,6280,1604,56,0,2725,1667,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,29,287,4,720,3,87,5.022,11,71,6.005,1173,23,46,5515,7194,1827,63,0,3180,1969,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,59,280,9,692,3,88,4.802,11,67,5.827,1351,26,41,6324,8173,2050,65,0,3693,2280,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,53,294,5,688,3,87,5.111,11,71,6.004,1498,28,41,6940,8938,2250,70,0,4074,2498,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,48,314,6,672,1,83,5.107,11,73,6.121,1594,31,44,7427,9540,2409,75,0,4396,2677,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,59,308,7,666,9,86,4.505,11,72,6.02,1715,32,39,8002,10237,2576,82,0,4765,2903,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,35,288,5,712,6,84,5.078,11,74,6.079,1861,32,48,8630,10997,2763,85,0,5138,3109,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,42,290,4,704,6,78,5.226,11,69,5.94,1977,33,52,9204,11692,2929,89,0,5460,3360,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,36,298,10,696,5,88,4.871,11,70,5.993,2107,33,44,9818,12443,3123,94,0,5853,3578,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,35,289,11,705,3,87,4.9,11,77,6.164,2233,35,35,10426,13175,3287,101,0,6240,3810,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,43,301,8,688,5,85,4.889,12,78,6.203,2385,38,40,11111,14035,3499,107,0,6670,4086,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,55,283,16,686,8,77,5.012,12,76,6.174,2529,38,37,11811,14866,3688,110,0,7074,4362,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,27,308,2,703,6,83,5,12,72,6.009,2638,38,52,12390,15555,3863,117,0,7425,4556,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,28,308,2,702,4,82,4.57,11,64,5.781,2734,43,48,12905,16165,4006,121,0,7737,4748,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,88,268,17,667,10,94,4.231,12,76,5.967,2900,46,28,13604,17007,4183,124,0,8202,5034,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,69,260,19,692,17,93,4.1,12,63,5.368,3201,48,35,14731,18442,4528,142,0,8939,5441,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,90,278,8,664,13,98,3.946,12,64,5.472,3449,48,30,15744,19737,4837,155,0,9660,5771,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,80,275,17,668,14,102,3.897,12,60,5.319,3669,50,34,16676,20935,5120,166,0,10244,6139,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
