t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,112,269,9,650,5,78,5.651,8,31,4.133,166,7,39,868,1503,436,16,0,276,134,236,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,118,251,19,652,7,95,4.716,8,40,4.711,391,10,32,1706,2710,766,25,0,814,391,369,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,126,272,10,632,1,86,5.115,8,39,4.658,632,11,38,2619,4006,1115,39,0,1421,652,469,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,91,273,18,658,4,100,4.971,8,41,4.764,864,12,34,3547,5325,1450,54,0,2016,959,591,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,123,256,28,633,15,99,4.298,8,46,4.99,1203,17,21,4653,6916,1908,72,0,2744,1306,743,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,103,262,22,653,10,98,4.38,8,35,4.55,1605,20,28,5862,8693,2378,88,0,3530,1656,883,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,85,268,21,666,11,103,4.421,8,38,4.707,1886,20,29,6855,10058,2761,107,0,4187,1906,986,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,100,272,22,646,12,82,4.904,9,41,4.781,2142,24,36,7802,11416,3141,122,0,4806,2200,1127,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,91,267,21,661,8,104,4.429,9,44,4.945,2427,24,34,8814,12880,3521,134,0,5492,2533,1288,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,147,251,16,626,8,97,4.486,8,44,4.936,2858,24,32,10158,14795,4046,150,0,6362,2987,1428,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,138,253,19,630,15,106,3.942,8,39,4.763,3281,24,22,11399,16593,4544,171,0,7165,3393,1549,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,103,270,20,647,8,103,4.351,8,52,5.236,3673,27,28,12590,18345,5032,188,0,7940,3730,1660,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,102,258,24,656,12,88,4.61,8,47,5.223,3998,29,30,13774,19979,5473,208,0,8702,4040,1776,0,0,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,153,242,17,628,7,103,3.927,8,43,4.984,4432,30,33,15051,21793,5953,219,0,9580,4444,1892,0,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,125,238,22,655,17,91,4.37,8,40,4.798,4848,30,31,16296,23566,6465,234,0,10371,4793,2029,0,0,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,147,248,18,627,4,102,4.189,8,41,5.013,5150,31,34,17367,25097,6871,245,0,11089,5128,2160,0,0,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,152,256,21,611,14,111,3.88,8,47,5.058,5573,33,33,18621,26871,7356,261,0,11929,5447,2270,0,0,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,156,255,13,616,7,119,3.667,8,39,4.701,6077,33,31,20059,29019,7963,287,0,12953,5868,2451,0,0,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,175,243,28,594,10,106,3.922,8,41,4.712,6611,39,28,21464,31208,8605,311,0,13958,6345,2611,0,0,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,191,233,43,573,16,121,3.599,8,47,4.824,7124,39,21,22890,33345,9193,331,0,14974,6771,2756,0,0,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,195,235,32,578,20,106,3.587,8,37,4.592,7580,40,26,24129,35170,9676,354,0,15842,7093,2905,0,0,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,183,233,46,578,23,120,3.182,8,43,4.763,8128,43,17,25499,37261,10245,374,0,16826,7491,3027,0,0,3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,245,222,20,553,13,134,3.109,8,37,4.483,8781,48,28,26975,39532,10915,404,0,17894,7915,3140,0,0,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,310,210,26,494,13,115,2.977,8,35,4.452,9284,52,28,28186,41308,11432,430,0,18733,8211,3200,0,0,3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,324,196,35,485,26,113,2.906,8,32,4.283,9830,55,30,29449,43184,11948,466,0,19595,8528,3257,0,0,4087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
