t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,768,46,119,107,9,17,6.654,8,11,2.77,66,4,0,116,591,177,2,0,112,127,55,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,792,33,132,83,17,15,5.719,8,15,3.307,203,6,0,236,1527,444,13,0,395,545,109,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,541,66,289,144,29,28,6.263,8,20,3.234,358,6,1,354,2738,806,20,0,657,984,194,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,596,59,252,133,33,31,4.734,8,15,2.645,548,6,1,470,3942,1205,32,0,1027,1502,253,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,694,44,202,100,30,26,4.661,8,16,2.881,728,7,0,592,5046,1562,39,0,1370,2007,313,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,642,61,207,130,30,33,4.54,8,12,2.379,880,8,0,717,6053,1908,44,0,1626,2421,371,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,593,72,215,160,24,35,5,8,15,2.623,1057,9,0,852,7229,2310,54,0,1933,2911,433,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,607,61,237,135,38,35,4.082,8,16,2.335,1285,11,0,990,8523,2762,66,0,2314,3458,495,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,644,56,213,127,43,35,3.564,8,11,1.818,1470,12,0,1111,9486,3128,81,0,2611,3848,554,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,738,46,156,100,55,35,2.522,8,12,1.375,1654,12,1,1253,10213,3495,94,0,2858,4131,582,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,807,37,118,78,35,29,2.656,8,6,0.813,1815,13,2,1379,10768,3840,103,0,3063,4252,605,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,828,33,111,68,51,29,2.175,8,6,0.553,1982,13,0,1500,11271,4197,115,0,3213,4380,614,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,846,30,102,62,52,30,2,2,1,0,2137,15,0,1613,11690,4537,129,0,3355,4441,621,0,0,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,830,40,77,93,45,40,2,2,1,0,2280,15,0,1756,12018,4865,140,0,3445,4443,621,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,841,31,102,66,53,31,2,2,2,0.093,2421,15,0,1863,12338,5185,151,0,3529,4444,621,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,833,37,85,85,48,37,2,2,4,0.276,2554,16,1,1984,12636,5483,166,0,3610,4446,621,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,840,38,78,84,43,38,2,2,1,0,2686,17,0,2094,12928,5775,177,0,3704,4449,621,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,851,35,86,68,42,35,2,2,1,0,2830,20,3,2219,13269,6116,184,0,3801,4453,621,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,848,36,92,64,42,36,2,2,1,0,2976,22,5,2331,13598,6445,195,0,3883,4454,621,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,833,37,88,82,48,37,2,2,1,0,3122,23,1,2479,13928,6775,209,0,3968,4455,621,0,0,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,827,47,65,101,36,47,2,2,1,0,3256,24,1,2617,14241,7088,218,0,4053,4456,621,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,844,34,93,69,47,34,2,2,1,0,3413,24,0,2732,14591,7438,225,0,4160,4460,621,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,849,29,90,72,52,29,2,2,1,0,3571,25,0,2864,14947,7794,232,0,4259,4463,621,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,833,37,85,85,48,37,2,2,1,0,3712,26,0,2990,15270,8117,241,0,4341,4467,621,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,836,36,100,68,48,36,2,2,1,0,3867,28,0,3094,15612,8459,255,0,4443,4469,621,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
