t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,665,53,222,100,12,24,7.75,8,8,1.89,85,3,1,102,621,191,3,0,100,102,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,304,122,401,213,20,50,7.6,8,17,2.43,198,6,0,239,1546,444,18,0,250,420,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,308,131,359,242,16,50,7.576,8,13,2.084,306,7,0,371,2257,647,32,0,488,761,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,305,121,378,236,19,49,7.5,8,16,2.368,412,7,1,500,2945,845,43,0,720,1084,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,235,160,320,325,15,54,7.319,8,19,2.672,500,8,0,639,3631,1056,60,0,911,1409,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,251,150,380,259,12,57,7.87,8,17,2.62,628,8,0,754,4381,1276,83,0,1172,1766,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,273,147,353,267,13,53,7.515,8,22,3.069,732,8,0,900,5112,1487,96,0,1413,2142,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,340,119,372,209,16,47,7.254,8,22,3.075,848,9,0,1002,5824,1686,113,0,1662,2521,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,274,143,370,253,14,53,7.522,8,23,3.194,951,9,0,1125,6582,1890,127,0,1871,2881,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,288,124,373,255,17,53,7.486,8,25,3.23,1057,10,0,1250,7265,2091,145,0,2091,3239,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,321,119,396,204,18,52,7.657,8,16,2.448,1178,10,0,1358,7937,2285,160,0,2317,3575,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,305,124,372,239,22,48,7.271,8,20,2.912,1273,10,0,1484,8633,2487,170,0,2546,3906,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,229,133,374,304,20,55,7.56,8,22,3.108,1360,10,0,1625,9269,2664,182,0,2731,4173,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,342,124,349,225,18,44,7.177,8,23,3.555,1481,11,0,1742,10022,2890,197,0,3005,4594,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,306,129,363,242,16,44,7.767,8,22,3.563,1595,12,0,1887,10799,3113,204,0,3246,4938,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,282,132,381,245,17,49,7.712,8,24,3.716,1724,12,0,2015,11637,3342,219,0,3504,5346,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,271,131,382,256,17,51,7.574,8,24,3.79,1842,13,0,2139,12478,3569,234,0,3776,5777,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,320,121,375,224,18,47,7.431,8,25,3.971,1971,14,0,2279,13298,3788,246,0,4066,6186,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,316,115,386,223,15,52,7.567,8,26,3.919,2095,15,1,2402,14073,3998,260,0,4312,6563,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,370,112,359,199,21,43,7.156,8,26,3.808,2218,16,1,2523,14796,4202,271,0,4558,6949,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,332,113,392,203,24,45,7.478,8,31,4.151,2348,17,0,2647,15635,4439,282,0,4812,7350,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,358,119,370,193,18,48,7.333,8,32,4.16,2459,19,0,2758,16374,4642,292,0,5047,7747,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,398,107,324,211,19,44,7.222,8,18,3.092,2558,19,1,2879,17001,4814,304,0,5281,8040,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,414,99,333,193,15,38,7.849,8,17,3.161,2680,19,0,3008,17790,5029,321,0,5546,8437,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,396,99,363,182,19,41,7.617,8,20,3.103,2811,20,0,3125,18594,5243,332,0,5782,8842,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
