t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,135,226,7,672,6,53,6.695,8,27,3.853,153,7,45,875,1481,420,14,0,274,188,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,139,225,12,664,12,55,6.299,8,34,4.456,364,9,39,1664,2597,742,24,0,747,567,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,108,216,18,698,11,63,6.284,8,41,4.758,608,9,37,2555,3843,1056,33,0,1298,983,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,96,221,5,718,6,64,6.129,8,32,4.384,845,11,43,3512,5163,1394,46,0,1861,1414,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,89,225,19,707,16,68,5.56,12,41,4.835,1090,14,32,4425,6489,1690,52,0,2467,1864,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,163,194,22,661,20,61,4.704,8,38,4.309,1362,16,33,5415,7867,2033,59,0,3118,2351,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,245,188,11,596,29,55,3.929,13,33,3.634,1609,17,44,6347,9170,2367,64,0,3736,2814,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,258,199,18,565,27,60,3.908,12,30,3.035,1847,18,42,7189,10318,2658,79,0,4266,3196,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,427,159,11,443,23,61,3.119,13,16,1.749,2073,20,40,8003,11398,2953,87,0,4834,3627,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,625,112,3,300,31,60,2.429,8,11,0.991,2267,20,51,8561,12105,3190,106,0,5242,3935,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,705,72,5,258,44,48,2.272,8,10,0.772,2407,22,50,8939,12535,3406,125,0,5483,4061,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,723,85,0,232,30,57,2.138,8,4,0.271,2507,22,56,9175,12829,3610,133,0,5629,4118,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,751,70,4,215,32,55,2.276,8,3,0.315,2606,23,57,9397,13112,3781,141,0,5772,4174,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,705,87,0,248,35,53,2.273,8,3,0.304,2706,24,57,9634,13416,3996,154,0,5888,4201,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,707,77,5,251,44,49,2.269,8,6,0.49,2812,25,51,9883,13727,4198,172,0,6034,4256,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,784,58,5,193,36,54,2.067,8,3,0.176,2942,26,58,10132,14059,4385,192,0,6233,4353,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,811,59,2,168,26,59,2,2,1,0,3039,26,59,10320,14292,4597,208,0,6356,4364,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,804,48,1,187,46,48,2,2,1,0,3132,26,56,10490,14482,4787,222,0,6440,4367,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,803,45,3,189,51,45,2,2,2,0.084,3219,27,54,10658,14663,4968,237,0,6525,4367,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,808,52,2,178,38,52,2,2,1,0,3295,27,56,10804,14845,5150,246,0,6607,4370,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,809,51,0,180,39,51,2,2,1,0,3392,28,56,10988,15057,5362,261,0,6704,4374,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,806,54,0,180,36,54,2,2,1,0,3479,30,58,11156,15257,5562,273,0,6791,4375,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,809,51,0,180,39,51,2,2,1,0,3577,30,53,11349,15472,5777,283,0,6889,4377,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,803,53,1,183,39,53,2,2,1,0,3675,30,55,11538,15677,5982,305,0,6986,4386,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,804,42,2,192,55,42,2,2,2,0.083,3777,31,51,11727,15882,6187,326,0,7082,4388,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
