t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,152,203,37,648,7,61,6.632,8,26,3.726,176,7,31,1025,1659,482,13,0,333,235,235,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,99,226,13,702,9,63,6.972,8,24,3.358,491,8,47,2160,3342,955,25,0,1025,714,467,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,125,204,29,682,13,62,6.307,9,33,4.219,743,10,21,3201,4827,1375,39,0,1665,1173,644,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,72,231,16,721,5,56,7.328,8,20,3.479,1011,12,47,4323,6505,1800,50,0,2366,1658,892,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,109,214,15,702,16,59,6.2,8,27,4.152,1276,12,35,5352,7999,2184,56,0,3016,2128,1105,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,80,230,19,711,5,57,7.161,8,24,3.633,1513,13,47,6294,9437,2573,66,0,3638,2533,1334,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,94,238,19,689,11,55,6.879,9,26,3.766,1746,14,35,7225,10821,2938,75,0,4212,2962,1533,0,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,98,229,14,699,5,60,7.369,9,19,3.189,1982,15,41,8192,12262,3316,82,0,4808,3428,1777,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,137,198,23,682,16,64,6.375,8,32,3.984,2240,16,29,9131,13697,3701,90,0,5421,3898,2029,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,131,220,19,670,14,59,6.671,8,29,3.77,2501,17,29,10128,15222,4114,103,0,6044,4392,2255,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,104,211,27,698,11,64,6.853,8,33,3.953,2777,19,26,11243,16901,4536,114,0,6743,4913,2519,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,90,238,10,702,5,63,7.103,8,30,3.801,2995,23,38,12139,18234,4915,122,0,7282,5327,2733,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,150,202,21,667,20,54,5.986,8,31,4.113,3252,23,26,13157,19675,5315,130,0,7922,5797,2932,0,0,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,119,224,15,682,4,64,7.044,8,29,3.86,3506,23,33,14226,21211,5730,140,0,8561,6241,3107,0,0,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,156,209,29,646,14,58,6.292,8,33,4.384,3739,24,34,15195,22603,6116,150,0,9149,6688,3295,0,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,166,216,19,639,9,59,6.735,8,27,3.873,3990,25,31,16240,24161,6557,160,0,9808,7149,3514,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,130,215,21,674,6,57,7.095,8,26,3.865,4253,25,37,17391,25825,7016,174,0,10497,7645,3727,0,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,133,195,28,684,13,64,6.208,8,37,4.716,4566,28,27,18597,27534,7495,191,0,11243,8176,3922,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,159,210,23,648,24,62,5.174,8,42,4.599,4852,28,30,19726,29113,7907,200,0,11940,8680,4074,0,0,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,205,185,20,630,29,63,4.489,8,27,3.26,5185,31,38,20984,30916,8362,212,0,12728,9243,4247,0,0,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,252,191,19,578,20,68,4.364,9,27,3.13,5454,34,39,22027,32353,8743,223,0,13365,9688,4351,0,0,2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,370,159,17,494,29,62,3.626,8,22,2.54,5752,36,30,23111,33867,9122,228,0,14076,10219,4488,0,0,2796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,477,131,20,412,30,54,3.083,8,19,2.148,6015,39,37,24070,35207,9486,245,0,14694,10662,4588,0,0,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,557,121,8,354,34,53,2.77,8,14,1.226,6294,40,46,24945,36364,9871,262,0,15204,11027,4632,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,755,58,10,217,48,51,2.212,7,12,1.058,6553,42,41,25564,37179,10234,286,0,15621,11313,4675,0,0,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
