t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,198,199,84,559,7,67,6.041,8,23,3.576,219,7,44,801,1753,494,9,0,383,318,445,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,146,229,90,575,6,61,6.388,8,25,3.491,407,7,47,1448,2963,803,19,0,900,673,686,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,150,211,76,603,12,63,6.267,11,28,3.774,631,9,39,2171,4287,1166,39,0,1500,1092,980,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,136,230,73,601,4,65,6.855,8,19,3.045,788,10,48,2740,5350,1448,48,0,1962,1431,1189,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,169,211,85,575,4,61,6.985,8,24,3.448,956,10,37,3292,6405,1722,61,0,2443,1758,1408,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,162,223,69,586,10,62,6.278,8,25,3.521,1182,12,45,4024,7827,2074,73,0,3073,2207,1711,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,182,219,62,577,3,66,6.768,8,25,3.431,1415,13,39,4736,9207,2436,83,0,3689,2632,2005,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,165,202,84,589,6,65,6.648,8,30,3.804,1615,14,39,5374,10432,2737,92,0,4205,3023,2266,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,128,230,65,617,9,62,6.944,9,24,3.22,1793,16,44,5991,11609,3046,99,0,4699,3388,2518,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,128,216,67,629,9,57,7.061,8,25,3.593,2005,17,51,6688,12923,3368,110,0,5250,3839,2818,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,136,224,79,601,10,64,6.635,8,29,3.932,2226,20,43,7375,14298,3703,124,0,5851,4294,3095,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,174,208,87,571,12,64,6.421,8,38,4.46,2468,20,43,8139,15715,4049,135,0,6479,4764,3376,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,129,225,71,615,5,57,7.452,8,18,3.008,2661,20,43,8781,17028,4370,143,0,7047,5170,3695,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,130,226,72,612,8,61,6.957,8,25,3.417,2822,20,49,9386,18102,4652,153,0,7509,5527,3887,0,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,128,220,77,615,10,60,6.686,9,31,3.728,2989,20,47,10038,19295,4940,165,0,8026,5936,4135,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,159,233,71,576,6,56,7.177,8,23,3.129,3167,20,37,10599,20378,5220,173,0,8500,6306,4376,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,123,226,79,612,10,62,6.778,8,24,3.037,3367,22,48,11260,21588,5519,186,0,9018,6698,4613,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,177,212,76,575,13,55,6.603,8,25,3.453,3530,22,36,11788,22604,5783,199,0,9474,7052,4861,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,175,212,84,569,11,55,6.773,8,22,3.288,3718,22,41,12446,23821,6081,221,0,10010,7467,5121,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
