t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,578,92,54,316,7,33,6.7,8,18,3.319,100,5,46,365,792,221,10,0,151,136,191,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,323,151,54,512,9,50,7.068,8,21,3.138,258,8,48,893,1888,493,23,0,494,472,471,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,227,174,64,575,7,56,7.603,8,19,2.861,417,9,50,1414,2910,760,33,0,867,825,713,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,178,173,64,625,6,60,7.591,8,19,2.9,575,10,49,1949,3941,1032,42,0,1269,1208,971,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,201,174,76,589,16,59,6.72,8,34,4.165,743,12,45,2488,4982,1308,61,0,1702,1615,1185,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,265,163,73,539,10,61,6.775,8,33,4.271,934,13,46,3066,6086,1590,71,0,2182,2048,1430,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,212,182,68,578,6,62,7.044,8,36,4.284,1061,15,48,3559,6988,1832,80,0,2528,2376,1601,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,167,200,66,607,4,59,7.651,8,19,3.03,1199,17,42,4024,7906,2062,92,0,2887,2705,1808,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,257,155,70,558,11,59,6.857,8,29,3.812,1375,18,43,4623,8971,2325,116,0,3343,3188,2031,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,244,169,71,556,5,54,7.441,8,24,3.592,1516,19,44,5153,9987,2588,129,0,3714,3590,2249,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,165,189,61,625,5,64,7.464,8,28,3.719,1657,19,46,5639,10904,2830,141,0,4043,3949,2481,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,230,170,75,565,12,58,6.986,8,35,4.278,1825,19,44,6230,11979,3106,150,0,4485,4415,2705,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,223,177,69,571,8,59,7.373,8,27,3.659,1991,19,46,6797,13004,3390,163,0,4904,4783,2902,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,175,189,67,609,5,65,7.229,8,26,3.491,2152,19,49,7295,14024,3668,181,0,5310,5150,3165,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,252,159,77,552,14,55,7.203,8,31,3.696,2306,19,48,7807,14979,3925,194,0,5723,5530,3355,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,229,171,74,566,5,58,7.73,8,26,3.378,2470,19,51,8369,16028,4209,207,0,6135,5934,3573,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,223,186,61,570,9,59,7,8,27,3.395,2615,19,48,8869,16981,4470,222,0,6535,6264,3774,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,247,161,67,565,15,54,6.884,8,22,3.232,2786,19,46,9384,17984,4740,243,0,6965,6634,4038,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,305,161,73,501,9,51,6.883,8,30,3.885,2942,20,49,9892,18972,4997,259,0,7404,6994,4238,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,195,179,69,597,5,59,7.391,8,27,3.501,3105,21,53,10464,20003,5269,278,0,7785,7350,4479,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420000,234,163,71,572,10,59,6.899,8,32,3.841,3265,21,42,11014,21014,5531,297,0,8209,7750,4708,0,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440000,262,150,72,556,19,58,6.506,8,35,4.227,3471,22,43,11706,22298,5869,320,0,8729,8257,4981,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,298,148,75,519,17,52,6.362,8,30,3.902,3663,24,51,12333,23496,6176,335,0,9238,8712,5223,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480000,306,164,57,513,5,53,7.328,8,24,3.38,3812,24,48,12844,24437,6414,343,0,9630,9072,5424,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,241,170,64,565,10,58,6.926,8,27,3.602,3970,24,50,13398,25477,6681,358,0,10041,9437,5650,0,0,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520000,182,180,75,603,12,61,7.384,8,23,3.288,4135,24,44,13934,26522,6963,374,0,10450,9832,5899,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540000,202,161,79,598,7,57,7.375,8,26,3.593,4277,24,42,14480,27486,7193,390,0,10854,10226,6095,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560000,275,157,56,552,11,57,6.956,8,33,4.046,4460,25,49,15053,28554,7459,410,0,11318,10666,6340,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,306,144,67,523,9,59,6.779,8,24,3.253,4648,26,48,15655,29731,7761,424,0,11809,11114,6624,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
