seed,rows,profile,grip,mode,steps,iters,total,family,fuelUsed,maxGen,free
71,1,square,false,bootstrap,50000,4,0,0,0,0,112
71,1,opposed20,false,bootstrap,50000,4,0,0,0,0,112
71,1,square,true,bootstrap,50000,4,0,0,0,0,112
71,1,opposed20,true,bootstrap,50000,4,0,0,4,0,106
71,4,square,false,bootstrap,50000,4,0,0,0,0,88
71,4,opposed20,false,bootstrap,50000,4,0,0,0,0,88
71,4,opposed20,true,bootstrap,50000,4,1,1,30,1,62
71,4,square,true,bootstrap,50000,4,4,4,38,1,26
72,1,square,false,bootstrap,50000,4,0,0,0,0,112
72,1,square,true,bootstrap,50000,4,0,0,0,0,112
72,1,opposed20,false,bootstrap,50000,4,0,0,0,0,112
72,1,opposed20,true,bootstrap,50000,4,0,0,3,0,109
72,4,square,false,bootstrap,50000,4,0,0,0,0,88
72,4,square,true,bootstrap,50000,4,0,0,12,0,83
72,4,opposed20,false,bootstrap,50000,4,0,0,0,0,88
72,4,opposed20,true,bootstrap,50000,4,1,1,40,1,50
