seed,rows,profile,grip,mode,steps,iters,total,family,fuelUsed,maxGen,free
73,4,square,false,bootstrap,100000,4,0,0,0,0,88
73,4,opposed20,false,bootstrap,100000,4,0,0,0,0,88
73,4,square,true,bootstrap,100000,4,7,7,92,2,2
73,4,opposed20,true,bootstrap,100000,4,6,6,96,1,7
74,4,square,false,bootstrap,100000,4,0,0,0,0,88
74,4,square,true,bootstrap,100000,4,4,4,47,1,28
74,4,opposed20,false,bootstrap,100000,4,0,0,0,0,88
75,4,square,false,bootstrap,100000,4,0,0,0,0,88
74,4,opposed20,true,bootstrap,100000,4,4,4,68,1,18
75,4,opposed20,false,bootstrap,100000,4,0,0,0,0,88
76,4,square,false,bootstrap,100000,4,0,0,0,0,88
75,4,square,true,bootstrap,100000,4,7,7,107,2,0
75,4,opposed20,true,bootstrap,100000,4,6,6,99,1,5
76,4,square,true,bootstrap,100000,4,7,7,105,1,0
76,4,opposed20,false,bootstrap,100000,4,0,0,0,0,88
76,4,opposed20,true,bootstrap,100000,4,5,5,86,1,9
