seed,rows,profile,steps,iters,armed,perRow,completeRows,cross,crossA,armedA
61,1,square,50000,4,0,0,0,0,0,0
61,1,opposed20,50000,4,4,4,0,0,0,0
61,2,opposed20,50000,4,13,6.5,0,7,6,6
61,2,square,50000,4,13,6.5,0,13,8,8
62,1,square,50000,4,0,0,0,0,0,0
62,1,opposed20,50000,4,4,4,0,0,0,0
61,4,square,50000,4,31,7.75,3,31,15,15
61,4,opposed20,50000,4,30,7.5,2,18,14,14
62,2,square,50000,4,13,6.5,0,13,8,8
62,2,opposed20,50000,4,16,8,2,11,8,8
62,4,square,50000,4,30,7.5,2,30,14,14
62,4,opposed20,50000,4,31,7.75,3,27,15,15
