seed,rows,profile,steps,iters,armed,perRow,completeRows,cross,crossA,armedA
63,4,square,50000,4,24,6,1,24,11,11
64,4,square,50000,4,32,8,4,32,16,16
64,4,opposed20,50000,4,31,7.75,3,20,16,16
63,4,opposed20,50000,4,32,8,4,20,16,16
65,4,square,50000,4,29,7.25,3,29,16,16
66,4,square,50000,4,28,7,2,28,13,13
65,4,opposed20,50000,4,31,7.75,3,24,15,15
66,4,opposed20,50000,4,31,7.75,3,22,16,16
67,4,square,50000,4,24,6,1,24,12,12
68,4,square,50000,4,31,7.75,3,31,16,16
67,4,opposed20,50000,4,30,7.5,2,19,15,15
68,4,opposed20,50000,4,32,8,4,26,16,16
69,4,square,50000,4,32,8,4,32,16,16
70,4,square,50000,4,32,8,4,31,15,16
69,4,opposed20,50000,4,29,7.25,2,18,14,14
70,4,opposed20,50000,4,32,8,4,25,16,16
